t,i,x,y,r,theta,xK,tc, therm, dc
1678497619.8236597, 3.2, -0.0012516734000000002, 0.0008446238, 2.9957860000000002e-06, 145.2166, 0, 0, 0, 0.0
1678497625.331657, -3.2, -0.0012224269999999999, 0.0008738569999999999, 2.988392e-06, 144.8967, 0, 0, 0, 0.0
1678497631.0278063, 3.2, -0.0008860942, 0.0008592404, 2.512546e-06, 137.3396, 0, 0, 0, 0.3333333333333333
1678497636.5367315, -3.2, -0.0008422248, 0.0008592404, 2.406356e-06, 133.944, 0, 0, 0, 0.3333333333333333
1678497642.252178, 3.2, 0.000532353, 0.0013123558000000001, 2.8215760000000004e-06, 68.47056, 0, 0, 0, 0.6666666666666666
1678497647.7513254, -3.2, 0.0005908456, 0.001341589, 2.931866e-06, 65.4738, 0, 0, 0, 0.6666666666666666
1678497653.4392412, 3.2, 0.0012196416000000002, 0.0015169886, 3.8747e-06, 51.26768, 0, 0, 0, 1.0
1678497658.9241982, -3.2, 0.001248888, 0.0015462218000000002, 4.016304e-06, 51.00955, 0, 0, 0, 1.0
1678497664.6114242, 3.2, 0.0014682356, 0.0015900716, 4.308742e-06, 47.56705, 0, 0, 0, 1.3333333333333333
1678497670.08048, -3.2, 0.0015121052, 0.0016193048, 4.492422e-06, 46.66989, 0, 0, 0, 1.3333333333333333
1678497675.772428, 3.2, 0.0015559746, 0.0016046882000000002, 4.451088e-06, 46.41283, 0, 0, 0, 1.6666666666666665
1678497681.2882051, -3.2, 0.001599844, 0.0016339214000000001, 4.614838e-06, 45.34313, 0, 0, 0, 1.6666666666666665
1678497686.973235, 3.2, 0.001497482, 0.0016046882000000002, 4.368424e-06, 46.97926, 0, 0, 0, 2.0
1678497692.4676678, -3.2, 0.0015559746, 0.0016193048, 4.51254e-06, 46.14259, 0, 0, 0, 2.0
1678497698.140323, 3.2, 0.0013951196, 0.0015608383999999999, 4.189428e-06, 48.50858, 0, 0, 0, 2.333333333333333
1678497703.6268938, -3.2, 0.0014389892, 0.0015900716, 4.308742e-06, 48.11612, 0, 0, 0, 2.333333333333333
1678497709.3389995, 3.2, 0.0012196416000000002, 0.0015316052, 3.892958e-06, 50.92993, 0, 0, 0, 2.6666666666666665
1678497714.848772, -3.2, 0.0012635112, 0.0015316052, 4.012196e-06, 50.68674, 0, 0, 0, 2.6666666666666665
1678497720.517748, 3.2, 0.0011319026000000002, 0.001458522, 3.65685e-06, 52.91037, 0, 0, 0, 3.0
1678497725.9974856, -3.2, 0.001161149, 0.0015023718, 3.83859e-06, 52.029, 0, 0, 0, 3.0
1678497731.7090752, 3.2, 0.000985671, 0.001458522, 3.51309e-06, 54.62198, 0, 0, 0, 3.333333333333333
1678497737.184027, -3.2, 0.0010441638, 0.001458522, 3.65685e-06, 53.00069, 0, 0, 0, 3.333333333333333
1678497742.906367, 3.2, 0.0009710478, 0.0014146722000000001, 3.382872e-06, 56.90371, 0, 0, 0, 3.6666666666666665
1678497748.3951523, -3.2, 0.0009710478, 0.0014146722000000001, 3.505952e-06, 55.8081, 0, 0, 0, 3.6666666666666665
1678497754.0975773, 3.2, 0.0008540626, 0.0013562056, 3.1846919999999995e-06, 59.41576, 0, 0, 0, 4.0
1678497759.5860329, -3.2, 0.0008833088000000001, 0.0013854388, 3.3201880000000005e-06, 57.47979, 0, 0, 0, 4.0
1678497765.2900205, 3.2, 0.0007955698, 0.0013562056, 3.1194819999999995e-06, 59.79606, 0, 0, 0, 4.333333333333333
1678497770.777811, -3.2, 0.0008686858000000001, 0.0013562056, 3.2705080000000005e-06, 57.63768, 0, 0, 0, 4.333333333333333
1678497776.4595706, 3.2, 0.0008979319999999999, 0.0013854388, 3.2369920000000003e-06, 57.47979, 0, 0, 0, 4.666666666666666
1678497781.9253154, -3.2, 0.0010149174, 0.0014292888, 3.51066e-06, 52.80988, 0, 0, 0, 4.666666666666666
1678497787.6331825, 3.2, -0.0028017280000000003, 0.000216109, 6.2855720000000005e-06, 177.71, 0, 0, 0, 5.0
1678497793.10157, -3.2, -0.0012370502000000002, 0.00040612520000000003, 5.1751420000000005e-06, 162.8854, 0, 0, 0, 5.0
1678497798.7919762, 3.2, -0.002377658, 0.0010200233999999998, 2.895666e-06, 140.3936, 0, 0, 0, 5.333333333333333
1678497804.3007445, -3.2, 0.0017460758, 0.0016777714, 4.947988e-06, 42.22907, 0, 0, 0, 5.333333333333333
1678497810.0146816, 3.2, 0.002199394, 0.0017800878, 3.1277660000000003e-06, 146.9634, 0, 0, 0, 5.666666666666666
1678497815.5021632, -3.2, 0.0007370772, 0.0016631547999999999, 5.286238e-06, 40.32661, 0, 0, 0, 5.666666666666666
1678497821.2204504, 3.2, -0.002962584, 0.000216109, 6.143124e-06, 175.9858, 0, 0, 0, 6.0
1678497826.7168372, -3.2, -0.002845598, 0.00033304200000000003, 3.991543999999999e-06, 160.8564, 0, 0, 0, 6.0
1678497832.4084125, 3.2, -0.00234841, 0.0003915086, 4.636796e-06, 181.0972, 0, 0, 0, 6.333333333333333
1678497837.880926, -3.2, 0.011704452, 0.005068828, 2.54866e-05, 23.35563, 0, 0, 0, 6.333333333333333
1678497843.5778155, 3.2, 0.010549222, 0.002905568, 1.9351014e-05, 25.30562, 0, 0, 0, 6.666666666666666
1678497849.0493927, -3.2, -0.0012662965999999999, 0.0009323236000000001, 4.768048e-06, 157.7291, 0, 0, 0, 6.666666666666666
1678497854.7497253, 3.2, -0.002260672, 4.07096e-05, 5.599978e-06, 178.1808, 0, 0, 0, 7.0
