time,desired temp,current,tc_temp
1663981484.6844935,22.0136241,0.011080133130002388,22.0346946
1663981489.6956253,22.0136241,0.026055525630001828,22.0622158
1663981494.7175586,22.0136241,0.040655344186002355,22.0876998
1663981499.7280767,22.0136241,0.054170778870003315,22.1099014
1663981504.7280433,22.0136241,0.05880526431251086,22.11413
1663981509.733994,22.0136241,0.05512747931251148,22.1023387
1663981514.7557278,22.0136241,0.05526829394451273,22.0983695
1663981519.754332,22.0136241,0.05498870388699394,22.09379
1663981524.7615075,22.0136241,0.05293832888699523,22.0860671
1663981529.8031135,22.0136241,0.0505931149429963,22.0781307
1663981534.7806742,22.0136241,0.042606079162995567,22.0598526
1663981539.7848275,22.0136241,0.03808008416299502,22.0490303
1663981544.788061,22.0136241,0.035882386530997,22.0431537
1663981549.8090901,22.0136241,0.03953358903099686,22.0487022
1663981554.800337,22.0136241,0.046128718778500374,22.0595874
1663981559.8093667,22.0136241,0.037715871278499485,22.0413742
1663981564.8152823,22.0136241,0.0346271196544993,22.0341663
1663981569.8406293,22.0136241,0.039299304654500274,22.0420875
1663981574.8484375,22.0136241,0.04478318372650342,22.0511665
1663981579.8555946,22.0136241,0.04402441872650256,22.0479335
1663981585.005872,22.0136241,0.04731155569850446,22.052555
1663981589.8794365,22.0136241,0.0536691231985042,22.0628108
1663981594.911162,22.0136241,0.053326853427993454,22.059803
1663981599.8866682,22.0136241,0.0497819597559931,22.0508575
1663981604.9046674,22.0136241,0.04389246384399463,22.0378627
1663981609.8993828,22.0136241,0.044200018843993404,22.0372943
1663981614.9128664,22.0136241,0.04719606384399313,22.0418739
1663981619.9244728,22.0136241,0.04670476102799321,22.0395889
1663981624.9250648,22.0136241,0.0431675151429948,22.0316123
1663981629.938907,22.0136241,0.038580422642995424,22.0220184
1663981634.9540956,22.0136241,0.046649771538996306,22.0369853
1663981639.9447668,22.0136241,0.05048024403899503,22.043169
1663981644.9559493,22.0136241,0.050229504038995405,22.0412845
1663981649.9623134,22.0136241,0.05597786653899591,22.0509166
1663981654.9753892,22.0136241,0.05397675755499642,22.0453243
1663981660.0338497,22.0136241,0.05155379127899353,22.0391845
1663981664.9881968,22.0136241,0.047510561193495414,22.0302734
1663981669.9973705,22.0136241,0.052099413665495524,22.0382175
1663981675.005041,22.0136241,0.05189913366549725,22.0366649
1663981680.0217936,22.0136241,0.04948841736299286,22.0309734
1663981685.020583,22.0136241,0.0475168623629926,22.0263919
1663981690.0394175,22.0136241,0.05314295143499328,22.0364933
1663981695.0522988,22.0136241,0.05568432393499256,22.040245
1663981700.051,22.0136241,0.04833099643499354,22.024971
1663981705.049927,22.0136241,0.047246439397492956,22.0223636
1663981710.1480026,22.0136241,0.045476161500493245,22.0185718
1663981715.0931187,22.0136241,0.05199224502249576,22.0307579
1663981720.0934818,22.0136241,0.05365479605849617,22.0331058
1663981725.1628058,22.0136241,0.055682886236493125,22.0360279
1663981730.1186397,22.0136241,0.057598956753497,22.0386219
1663981735.1079516,22.0136241,0.058374104253497094,22.038908
1663981740.1261358,22.0136241,0.05732066985349811,22.0356941
1663981745.1292138,22.0136241,0.05417038235349845,22.0286426
1663981750.134567,22.0136241,0.057220457353497636,22.0337371
1663981755.1513746,22.0136241,0.056707756714993236,22.0317974
1663981760.1729093,22.0136241,0.05843344905899402,22.0342159
1663981765.1639097,22.0136241,0.057148806558993556,22.0307884
1663981770.1765575,22.0136241,0.059161051558993524,22.0338039
1663981775.1710649,22.0136241,0.06246631655899345,22.0391387
1663981780.1825686,22.0136241,0.059744654058993686,22.0327396
1663981785.21105,22.0136241,0.06241408792399628,22.0369071
1663981790.224561,22.0136241,0.06109965596799702,22.0332889
1663981795.195303,22.0136241,0.06392971892249627,22.0377502
1663981800.214983,22.0136241,0.058866247862495676,22.0269546
1663981805.2114718,22.0136241,0.05510498286249579,22.0191555
1663981810.2155187,22.0136241,0.056096392862496104,22.0207805
1663981815.2460575,22.0136241,0.05805652643999711,22.0241718
1663981820.2291129,22.0136241,0.05912730143999657,22.0257091
1663981825.2302191,22.0136241,0.058505163939996746,22.0239486
1663981830.251057,22.0136241,0.05796892124799616,22.0224342
1663981835.2530673,22.0136241,0.06086478374799576,22.0275306
1663981840.2725391,22.0136241,0.058299112955495384,22.0219802
1663981845.2746472,22.0136241,0.05431838801949549,22.0139999
1663981850.2878525,22.0136241,0.05768332051949521,22.0203914
1663981855.3369148,22.0136241,0.05178777178399346,22.0088424
1663981860.3119726,21.930709723741153,0.09662530674368493,22.0115852
1663981865.326702,21.8471992414299,0.14512727751625215,22.0165824
1663981870.3359256,21.763625419249472,0.1862127212276941,22.0031642
1663981875.3509371,21.680092346777855,0.21494643379405529,21.9629554
1663981880.36208,21.596570778002675,0.22627892654574905,21.8875083
1663981885.3659286,21.513088901947278,0.22679700174861459,21.7911167
1663981890.385559,21.429611639291384,0.23038825459427734,21.7012405
1663981895.3900895,21.346084129919944,0.22605510888969899,21.5964889
1663981900.4099078,21.262524016807813,0.21861513704022817,21.4867992
1663981905.4090729,21.179114373634594,0.21011854428597265,21.3765258
1663981910.4265594,21.095570572326917,0.20686026028585577,21.2773475
1663981915.4288743,21.01221725554301,0.19928737728923246,21.1709136
1663981920.4693084,20.92816929033432,0.2005514900850066,21.0816478
1663981925.4427345,20.845315671076712,0.20306278232257827,20.9962921
1663981930.4331846,20.761928129305776,0.20431517938574292,20.908123
1663981935.456983,20.67837205341492,0.21042986707552902,20.8292293
1663981940.4690454,20.594848040849307,0.22776946879383606,20.7715225
