f2,b2,v2,x2,y2,r2,theta2,x8,y8,r8, theta8 
92.16,10.0,0.1,4.616569,-0.001570137,0.04623888,0.07121587,0.0541728,-0.00279237,0.0542452,-2.946
92.16,10.0,0.1,4.616569,0.0203548,0.04623898,0.2534224,0.0542147,-0.0015564,0.0542376,-1.644
92.16,9.9,0.1,4.616569,0.0203548,0.04609275,359.9805,0.0542376,0.000591282,0.0542414,0.63
92.16,9.8,0.1,4.609257,0.0203548,0.04616652,0.4340185,0.0542338,0.000633243,0.0542376,0.672
92.16,9.7,0.1,4.609257,0.03497142,0.04609265,0.2530204,0.0542338,0.000659946,0.0542376,0.702
92.16,9.6,0.1,4.62388,-0.001570137,0.04623884,0.1616622,0.0542376,0.000640873,0.0542414,0.678
92.16,9.49,0.1,4.62388,0.005738174,0.04609302,359.9805,0.05423,0.000904087,0.0542376,0.96
92.16,9.39,0.1,4.601945,0.005738174,0.04616613,0.07121587,0.0542376,0.000713352,0.0542414,0.756
92.16,9.29,0.1,4.601945,0.0203548,0.04623888,0.2530204,0.05423,0.00067139,0.0542338,0.714
92.16,9.19,0.1,4.616569,0.02766311,0.04616572,359.89,0.0542262,0.000675205,0.05423,0.714
92.16,9.09,0.1,4.616569,0.0203548,0.04609275,0.1624327,0.05423,0.000686649,0.0542338,0.732
92.16,8.99,0.1,4.601945,0.01304649,0.04609302,0.1616622,0.0542338,0.000698093,0.0542376,0.738
92.16,8.89,0.1,4.62388,0.0203548,0.04616569,0.07144216,0.0542262,0.00074387,0.0542338,0.786
92.16,8.79,0.1,4.601945,0.0203548,0.04609257,0.3438646,0.05423,0.000705723,0.0542338,0.75
92.16,8.69,0.1,4.601945,-0.008878449,0.04616572,359.9805,0.0542338,0.000682835,0.0542376,0.72
92.16,8.59,0.1,4.609257,-0.001570137,0.04609302,0.5263821,0.05423,0.000675205,0.0542338,0.714
92.16,8.48,0.1,4.609257,-0.001570137,0.04601949,359.9805,0.05423,0.000896458,0.0542376,0.954
92.16,8.38,0.1,4.62388,0.01304649,0.04609302,0.07144216,0.0542223,0.000724796,0.0542262,0.768
92.16,8.28,0.1,4.616569,-0.001570137,0.04623884,359.9805,0.0542223,0.000709537,0.0542262,0.756
92.16,8.18,0.1,4.609257,-0.001570137,0.04609257,359.8896,0.0542185,0.00073624,0.0542262,0.78
92.16,8.08,0.1,4.616569,-0.008878449,0.04623908,0.1621751,0.0542262,0.000701908,0.05423,0.744
92.16,7.98,0.1,4.609257,-0.008878449,0.04594679,0.3438646,0.0542262,0.00074387,0.0542338,0.786
92.16,7.88,0.1,4.616569,0.0203548,0.04601964,359.9805,0.0542223,0.000728611,0.0542262,0.774
92.16,7.78,0.1,4.609257,0.01304649,0.04616652,0.3444109,0.0542262,0.00073624,0.0542338,0.78
92.16,7.68,0.1,4.62388,-0.001570137,0.04623898,0.07144216,0.0542223,0.000686649,0.05423,0.732
92.16,7.58,0.1,4.601945,0.0203548,0.04601954,0.1624327,0.0542262,0.00074387,0.0542338,0.786
92.16,7.47,0.1,4.609257,0.02766311,0.04616577,0.344959,0.0542185,0.000926975,0.0542262,0.984
92.16,7.37,0.1,4.616569,0.01304649,0.04609302,359.8895,0.0542185,0.000732426,0.0542223,0.774
92.16,7.27,0.1,4.601945,0.005738174,0.0460934,0.07110326,0.0542262,0.000751499,0.0542338,0.792
92.16,7.17,0.1,4.616569,-0.008878449,0.04616701,0.434707,0.0542223,0.000770573,0.05423,0.816
92.16,7.07,0.1,4.609257,-0.008878449,0.0460934,359.8896,0.0542147,0.00073624,0.0542223,0.78
92.16,6.97,0.1,4.601945,-0.008878449,0.04609257,359.9805,0.0542185,0.000728611,0.0542223,0.774
92.16,6.87,0.1,4.601945,0.01304649,0.04616597,359.9805,0.0542223,0.000717167,0.0542262,0.762
92.16,6.77,0.1,4.609257,0.01304649,0.04601946,0.1619182,0.0542223,0.00073624,0.05423,0.78
92.16,6.67,0.1,4.609257,0.005738174,0.04601949,0.2530204,0.0542223,0.000774387,0.05423,0.822
92.16,6.57,0.1,4.616569,0.02766311,0.04594637,0.2534224,0.0542185,0.000720982,0.0542223,0.762
92.16,6.46,0.1,4.601945,0.0203548,0.04601946,0.07110326,0.0542147,0.000984199,0.0542262,1.044
92.16,6.36,0.1,4.609257,-0.008878449,0.04616577,359.9804,0.0542223,0.000747684,0.05423,0.792
92.16,6.26,0.1,4.616569,-0.001570137,0.04609302,359.9805,0.0542223,0.000728611,0.0542262,0.774
92.16,6.16,0.1,4.616569,-0.001570137,0.04602139,359.8896,0.0542147,0.00073624,0.0542223,0.78
92.16,6.06,0.1,4.601945,0.0203548,0.04594634,0.3438646,0.0542185,0.000682835,0.0542223,0.72
92.16,5.96,0.1,4.616569,-0.001570137,0.04623884,359.9805,0.0542185,0.000762943,0.0542262,0.81
92.16,5.86,0.1,4.616569,-0.008878449,0.04602028,0.07121587,0.0542185,0.000713352,0.0542223,0.756
92.16,5.76,0.1,4.609257,0.0203548,0.04616577,359.9804,0.0542147,0.000751499,0.0542223,0.798
92.16,5.66,0.1,4.609257,0.01304649,0.04609302,0.07144216,0.0542147,0.000766758,0.0542185,0.816
92.16,5.56,0.1,4.601945,0.02766311,0.04623888,359.9804,0.0542147,0.000766758,0.0542185,0.816
92.16,5.45,0.1,4.594634,-0.001570137,0.0460199,359.9805,0.0542147,0.000938419,0.0542185,0.996
92.16,5.35,0.1,4.601945,0.005738174,0.04616597,359.9805,0.0542185,0.000759128,0.0542262,0.804
92.16,5.25,0.1,4.609257,0.0203548,0.04594634,0.07132883,0.0542147,0.000717167,0.0542147,0.762
92.16,5.15,0.1,4.616569,-0.008878449,0.04594652,359.8898,0.0542147,0.000751499,0.0542223,0.798
92.16,5.05,0.1,4.594634,0.03497142,0.04609257,0.2530204,0.0542147,0.000682835,0.0542147,0.726
92.16,4.95,0.1,4.609257,-0.008878449,0.04609275,0.07121587,0.0542147,0.000728611,0.0542185,0.774
92.16,4.85,0.1,4.616569,-0.001570137,0.04602028,0.1619182,0.0542109,0.000724796,0.0542147,0.768
92.16,4.75,0.1,4.609257,0.0203548,0.0460926,0.2526197,0.0542147,0.000728611,0.0542185,0.774
92.16,4.65,0.1,4.616569,0.005738174,0.04616572,359.8898,0.0542109,0.000717167,0.0542147,0.762
92.16,4.55,0.1,4.601945,0.01304649,0.04609257,359.8898,0.0542147,0.000709537,0.0542185,0.756
92.16,4.44,0.1,4.616569,-0.001570137,0.04602028,359.9804,0.0542109,0.000972752,0.0542185,1.026
92.16,4.34,0.1,4.609257,0.005738174,0.04616577,359.9805,0.0542071,0.000782017,0.0542147,0.828
92.16,4.24,0.1,4.616569,0.01304649,0.04616587,0.2534224,0.0542147,0.000740055,0.0542185,0.786
92.16,4.14,0.1,4.616569,0.02766311,0.04623888,0.2534224,0.0542071,0.000782017,0.0542147,0.828
92.16,4.04,0.1,4.609257,-0.001570137,0.04594766,0.1626912,0.0542071,0.000789646,0.0542147,0.84
92.16,3.94,0.1,4.616569,0.0203548,0.04609257,0.34332,0.0542033,0.000751499,0.0542109,0.798
92.16,3.84,0.1,4.609257,0.005738174,0.0460926,0.07110326,0.0542071,0.000732426,0.0542109,0.774
92.16,3.74,0.1,4.609257,-0.001570137,0.04601964,359.8895,0.0542033,0.000820164,0.0542109,0.87
92.16,3.64,0.1,4.594634,0.005738174,0.04601949,359.7991,0.0542147,0.000720982,0.0542147,0.762
92.16,3.54,0.1,4.62388,0.03497142,0.04623884,0.5255472,0.0542109,0.000785831,0.0542147,0.834
92.16,3.43,0.1,4.601945,-0.001570137,0.04594634,359.9805,0.0542071,0.000949863,0.0542147,1.002
92.16,3.33,0.1,4.601945,0.02766311,0.04616569,0.2526197,0.0542071,0.000823978,0.0542147,0.876
92.16,3.23,0.1,4.62388,0.005738174,0.04616577,0.07132883,0.0542033,0.000762943,0.0542109,0.81
92.16,3.13,0.1,4.601945,0.0203548,0.0460926,0.2530204,0.0541995,0.000755314,0.0542071,0.798
92.16,3.03,0.1,4.609257,-0.001570137,0.04609265,359.8898,0.0542033,0.000740055,0.0542109,0.786
92.16,2.93,0.1,4.62388,-0.001570137,0.04609257,0.1621751,0.0542071,0.000762943,0.0542147,0.81
92.16,2.83,0.1,4.601945,-0.001570137,0.0460926,0.2534224,0.0542071,0.000751499,0.0542147,0.798
92.16,2.73,0.1,4.601945,-0.001570137,0.04616613,0.07121587,0.0542071,0.000797275,0.0542147,0.846
92.16,2.63,0.1,4.601945,0.02766311,0.04616572,359.7988,0.0542071,0.000762943,0.0542147,0.81
92.16,2.53,0.1,4.609257,0.02766311,0.04616587,0.1621751,0.0542033,0.00073624,0.0542109,0.786
92.16,2.42,0.1,4.62388,-0.008878449,0.04601964,0.1624327,0.0542033,0.000942234,0.0542109,0.996
92.16,2.32,0.1,4.601945,0.0203548,0.04623884,0.434707,0.0541995,0.000762943,0.0542071,0.816
92.16,2.22,0.1,4.609257,-0.001570137,0.04609285,0.4360905,0.0542071,0.000755314,0.0542147,0.798
