t,i,x,y,r,theta,xK
1698461652.1151485,0.0,0.0002515533,-1.570137e-06,0.0002517099,358.0357,0
1698461655.2997994,0.1,0.0002515533,-8.878449e-06,0.000244403,357.9182,0
1698461658.203857,0.2,0.0002515533,-1.570137e-06,0.0002590171,357.9786,0
1698461661.1308997,0.30000000000000004,0.0002442417,-8.878449e-06,0.0002517099,356.2083,0
1698461664.0434177,0.4,0.0002588649,-1.570137e-06,0.0002517099,357.9182,0
1698461666.9632783,0.5,0.0002442417,-8.878449e-06,0.0002515582,359.6317,0
1698461669.8624713,0.6000000000000001,0.0002588649,-8.878449e-06,0.0002515582,359.6424,0
1698461672.7468321,0.7000000000000001,0.0002515533,-8.878449e-06,0.0002515582,358.0357,0
1698461675.682415,0.8,0.0002515533,-1.570137e-06,0.0002590171,357.9786,0
1698461678.6197147,0.9,0.0002515533,5.738174e-06,0.0002588696,357.9786,0
1698461681.5586832,1.0,0.0002442417,-1.570137e-06,0.000244403,357.9786,0
1698461684.5051062,1.1,0.0002515533,5.738174e-06,0.000244403,359.6525,0
1698461687.44817,1.2000000000000002,0.0002515533,-1.570137e-06,0.0002517099,357.9786,0
1698461690.3967948,1.3,0.0002515533,-1.570137e-06,0.000244403,356.2083,0
1698461693.3374467,1.4000000000000001,0.0002588649,-8.878449e-06,0.0002443091,357.9182,0
1698461696.2461922,1.5,0.0002442417,-1.570137e-06,0.0002443091,359.6424,0
1698461699.2019694,1.6,0.0002442417,-8.878449e-06,0.000244403,356.2083,0
1698461702.208719,1.7000000000000002,0.0002442417,-8.878449e-06,0.0002520735,359.6424,0
1698461705.1603136,1.8,0.0002515533,-8.878449e-06,0.0002520735,359.6424,0
1698461708.144686,1.9000000000000001,0.0002515533,-1.570137e-06,0.0002515582,357.9786,0
1698461711.0841827,2.0,0.0002369301,-8.878449e-06,0.0002515582,359.6317,0
1698461714.0128608,2.1,0.0002515533,-8.878449e-06,0.0002442468,358.0357,0
1698461716.963673,2.2,0.0002515533,-1.570137e-06,0.0002515582,359.6317,0
1698461719.9444966,2.3000000000000003,0.0002442417,-1.618676e-05,0.0002517099,357.9786,0
1698461722.9216216,2.4000000000000004,0.0002442417,-8.878449e-06,0.0002442468,356.3182,0
1698461725.8692818,2.5,0.0002588649,-8.878449e-06,0.0002590171,357.9182,0
1698461728.873212,2.6,0.0002588649,-8.878449e-06,0.0002515582,1.34585,0
1698461731.8282497,2.7,0.0002515533,-8.878449e-06,0.0002442468,357.9786,0
1698461734.8028898,2.8000000000000003,0.0002588649,-1.618676e-05,0.000244403,356.3182,0
1698461737.865045,2.9000000000000004,0.0002515533,-1.570137e-06,0.0002515582,359.6203,0
1698461740.8891556,3.0,0.0002515533,-1.570137e-06,0.0002593705,359.6317,0
1698461743.8878539,3.1,0.0002515533,-1.570137e-06,0.0002515582,359.6424,0
1698461746.8853507,3.2,0.0002515533,-1.570137e-06,0.0002517099,356.3182,0
1698461749.9144995,3.2,0.0002442417,-8.878449e-06,0.0002520735,359.6317,0
1698461752.8949995,3.1,0.0002515533,-8.878449e-06,0.0002590171,1.269849,0
1698461755.9113636,3.0,0.0002515533,-1.570137e-06,0.0002517099,357.9786,0
1698461758.9307973,2.9000000000000004,0.0002442417,-8.878449e-06,0.0002517099,359.6424,0
1698461826.629157,2.8000000000000003,0.0002515533,-1.570137e-06,0.0002442468,357.9786,0
1698461829.674051,2.7,0.0002515533,-8.878449e-06,0.0002517099,357.9182,0
1698461832.6983337,2.6,0.0002515533,-1.570137e-06,0.0002590171,356.422,0
1698461835.6985447,2.5,0.0002515533,-1.570137e-06,0.0002520735,356.422,0
1698461838.7135806,2.4000000000000004,0.0002442417,-8.878449e-06,0.0002517099,359.6424,0
1698461841.7134259,2.3000000000000003,0.0002515533,-8.878449e-06,0.0002517099,357.9786,0
1698461844.7646945,2.2,0.0002442417,-1.570137e-06,0.0002517099,357.9786,0
1698461847.7812564,2.1,0.0002588649,-1.570137e-06,0.0002516187,359.6317,0
1698461850.809651,2.0,0.0002442417,-8.878449e-06,0.0002517099,357.9786,0
1698461853.8189611,1.9000000000000001,0.0002442417,-1.618676e-05,0.0002593705,357.9182,0
1698461856.876245,1.8,0.0002515533,-8.878449e-06,0.0002590171,357.9786,0
1698461859.9071994,1.7000000000000002,0.0002515533,-1.570137e-06,0.0002516187,357.9786,0
1698461862.974685,1.6,0.0002515533,-8.878449e-06,0.0002517099,357.9786,0
1698461866.0457895,1.5,0.0002515533,-1.618676e-05,0.0002520735,357.9786,0
1698461869.054916,1.4000000000000001,0.0002515533,-8.878449e-06,0.0002517099,359.6317,0
1698461872.1198318,1.3,0.0002515533,-1.570137e-06,0.0002517099,359.6424,0
1698461875.1864917,1.2000000000000002,0.0002515533,-1.570137e-06,0.000244403,359.6424,0
1698461878.2319007,1.1,0.0002515533,-8.878449e-06,0.0002517099,357.9786,0
1698461881.2894452,1.0,0.0002442417,-1.570137e-06,0.0002515582,357.9786,0
1698461884.3341687,0.8999999999999999,0.0002442417,-1.618676e-05,0.0002447775,359.6317,0
1698461887.3845687,0.7999999999999998,0.0002442417,-8.878449e-06,0.0002442468,357.9786,0
1698461890.4368079,0.7000000000000002,0.0002515533,-8.878449e-06,0.000244403,357.9786,0
1698461893.5299327,0.6000000000000001,0.0002442417,-1.570137e-06,0.0002442468,357.9786,0
1698461896.5845122,0.5,0.0002515533,-8.878449e-06,0.000244403,356.3182,0
1698461899.617869,0.3999999999999999,0.0002588649,-8.878449e-06,0.0002588696,357.9786,0
1698461902.7209952,0.2999999999999998,0.0002515533,-8.878449e-06,0.0002515582,358.0357,0
1698461905.8140953,0.20000000000000018,0.0002442417,-8.878449e-06,0.0002517099,359.6424,0
1698461908.9356086,0.10000000000000009,0.0002588649,-8.878449e-06,0.0002588696,356.3182,0
1698461912.0389044,0.0,0.0002515533,-8.878449e-06,0.0002516187,359.6317,0
1698461915.11853,0.0,0.0002515533,-8.878449e-06,0.0002517099,359.6424,0
1698461918.2483935,-0.1,0.0002515533,-8.878449e-06,0.0002588696,357.9182,0
1698461921.3532703,-0.2,0.0002515533,-8.878449e-06,0.0002590171,357.9786,0
1698461924.4558253,-0.30000000000000004,0.0002442417,-8.878449e-06,0.0002517099,357.9786,0
1698461927.5425413,-0.4,0.0002515533,-8.878449e-06,0.0002588696,1.34585,0
1698461930.6664555,-0.5,0.0002588649,-8.878449e-06,0.0002517099,359.6424,0
1698461933.7513046,-0.6000000000000001,0.0002588649,-1.618676e-05,0.0002520735,356.3182,0
1698461936.8520038,-0.7000000000000001,0.0002515533,-8.878449e-06,0.0002515582,357.9786,0
1698461939.953955,-0.8,0.0002442417,-8.878449e-06,0.0002515582,356.3182,0
1698461943.0525193,-0.9,0.0002661765,-8.878449e-06,0.0002588696,356.2083,0
1698461946.196471,-1.0,0.0002515533,-1.570137e-06,0.0002517099,357.9786,0
1698461949.279548,-1.1,0.0002515533,-8.878449e-06,0.0002515582,356.3182,0
1698461952.4318407,-1.2000000000000002,0.0002588649,-8.878449e-06,0.0002590171,357.9786,0
1698461955.55574,-1.3,0.0002515533,-8.878449e-06,0.0002588696,357.9786,0
1698461958.6919703,-1.4000000000000001,0.0002515533,-8.878449e-06,0.0002442468,357.9182,0
1698461961.8558977,-1.5,0.0002588649,-1.618676e-05,0.0002517099,357.9786,0
1698461964.9851618,-1.6,0.0002588649,-8.878449e-06,0.0002590171,357.9786,0
1698461968.1459053,-1.7000000000000002,0.0002515533,-1.570137e-06,0.000244403,356.2083,0
1698461971.314876,-1.8,0.0002442417,-1.570137e-06,0.0002517099,357.9786,0
1698461974.456272,-1.9000000000000001,0.0002442417,-1.570137e-06,0.0002517099,359.6424,0
1698461977.596255,-2.0,0.0002442417,-8.878449e-06,0.0002520735,357.9786,0
1698461980.7131503,-2.1,0.0002515533,-8.878449e-06,0.000244403,359.6424,0
1698461983.8855758,-2.2,0.0002515533,-8.878449e-06,0.0002516187,357.9182,0
1698461987.0686822,-2.3000000000000003,0.0002515533,-1.570137e-06,0.0002517099,359.6424,0
1698461990.230944,-2.4000000000000004,0.0002442417,-8.878449e-06,0.0002517099,359.6424,0
1698461993.4386742,-2.5,0.0002515533,-1.570137e-06,0.000244403,357.9786,0
1698461996.5832772,-2.6,0.0002515533,-8.878449e-06,0.0002517099,357.9786,0
1698461999.7517169,-2.7,0.0002442417,-8.878449e-06,0.0002517099,359.6424,0
1698462002.9377775,-2.8000000000000003,0.0002515533,-8.878449e-06,0.000244403,356.3182,0
1698462006.1303458,-2.9000000000000004,0.0002588649,-8.878449e-06,0.0002517099,357.9786,0
1698462009.3469844,-3.0,0.0002588649,-8.878449e-06,0.0002442468,356.2083,0
1698462012.5672696,-3.1,0.0002515533,-1.570137e-06,0.0002515582,357.9182,0
1698462015.7720003,-3.2,0.0002442417,-1.570137e-06,0.0002517099,1.306745,0
1698462018.969842,-3.2,0.0002515533,-8.878449e-06,0.0002447775,357.9786,0
1698462022.2412353,-3.1,0.0002515533,-8.878449e-06,0.0002443091,357.9786,0
1698462025.4500372,-3.0,0.0002442417,-8.878449e-06,0.0002515582,1.269849,0
