t,i,x,y,r,theta,xK
1684277691.852149,0.0,-0.0002727046,0.0001124938,0.000295701,157.5833,0
1684277695.0795243,0.1,-0.0002763604,0.0001088396,0.000294996,157.2041,0
1684277697.9537313,0.2,-0.0002800162,0.0001161479,0.000301768,157.2041,0
1684277700.8165228,0.30000000000000004,-0.0002800162,0.0001161479,0.0003004249,158.1127,0
1684277703.639416,0.4,-0.0002800162,0.0001161479,0.000301768,158.1127,0
1684277706.4993,0.5,-0.0002800162,0.0001088396,0.0003065292,158.7594,0
1684277709.3248558,0.6000000000000001,-0.0002763604,0.0001124938,0.000293622,157.4718,0
1684277712.1541677,0.7000000000000001,-0.0002763604,0.0001124938,0.0002983788,157.5833,0
1684277715.0106995,0.8,-0.0002727046,0.0001124938,0.000293622,157.5833,0
1684277717.853285,0.9,-0.0002727046,0.0001088396,0.000294996,157.5833,0
1684277720.7125995,1.0,-0.0002800162,0.0001124938,0.0002970204,158.7594,0
1684277723.561383,1.1,-0.0002763604,0.0001124938,0.0002978596,157.5833,0
1684277726.4146886,1.2000000000000002,-0.0002763604,0.0001124938,0.0002983788,157.5833,0
1684277729.2773328,1.3,-0.0002727046,0.0001124938,0.000294996,157.3094,0
1684277732.1769612,1.4000000000000001,-0.0002690488,0.0001198021,0.0002983788,157.5833,0
1684277735.0266814,1.5,-0.0002727046,0.0001088396,0.0002964088,157.5833,0
1684277737.9014616,1.6,-0.0002727046,0.0001124938,0.0002970204,157.5833,0
1684277740.7860632,1.7000000000000002,-0.0002727046,0.0001198021,0.0002983788,158.5039,0
