t,i,x,y,r,theta,xK,tc, therm
1708976196.5492957, -3.2, -1.437422e-06, 2.766311e-08, 1.335061e-06, 180.3831, 0, 0, 0
1708976202.795969, 3.2, -1.415488e-06, 2.03548e-08, 1.335061e-06, 179.7551, 0, 0, 0
1708976209.029381, -3.2, -1.583654e-06, -8.878449e-09, 1.364403e-06, 180.6871, 0, 0, 0
1708976215.2455523, 3.2, -1.349683e-06, -6.734494e-08, 1.342469e-06, 180.6909, 0, 0, 0
1708976221.4779317, -3.2, -1.452046e-06, -3.080338e-08, 1.349888e-06, 180.6871, 0, 0, 0
1708976227.731385, 3.2, -1.342372e-06, 4.958804e-08, 1.386253e-06, 180.9659, 0, 0, 0
1708976233.9819572, -3.2, -1.364307e-06, 2.766311e-08, 1.378931e-06, 180.669, 0, 0, 0
1708976240.237565, 3.2, -1.137647e-06, -1.618676e-08, 1.379025e-06, 180.669, 0, 0, 0
1708976246.496816, -3.2, -1.232698e-06, -1.570137e-09, 1.386242e-06, 180.367, 0, 0, 0
1708976252.7885017, 3.2, -1.33506e-06, -3.811169e-08, 1.386336e-06, 180.3651, 0, 0, 0
1708976259.06534, -3.2, -1.24001e-06, -2.349507e-08, 1.400958e-06, 180.3651, 0, 0, 0
1708976265.3697584, 3.2, -1.583654e-06, -6.003663e-08, 1.422993e-06, 181.2467, 0, 0, 0
1708976271.643037, -3.2, -1.283879e-06, -1.570137e-09, 1.408269e-06, 180.3613, 0, 0, 0
1708976277.9300582, 3.2, -1.554408e-06, -3.811169e-08, 1.408204e-06, 180.9609, 0, 0, 0
1708976284.2057486, -3.2, -1.525161e-06, -3.080338e-08, 1.408269e-06, 180.6586, 0, 0, 0
1708976290.501739, 3.2, -1.590966e-06, -3.811169e-08, 1.422993e-06, 180.6552, 0, 0, 0
1708976296.7933302, -3.2, -1.422799e-06, 5.738173e-09, 1.408188e-06, 180.0632, 0, 0, 0
1708976303.0788531, 3.2, -1.51785e-06, 2.766311e-08, 1.408204e-06, 180.3631, 0, 0, 0
1708976309.374037, -3.2, -1.320437e-06, -1.618676e-08, 1.393554e-06, 180.0636, 0, 0, 0
1708976315.6703732, 3.2, -1.37893e-06, -3.811169e-08, 1.401062e-06, 180.6655, 0, 0, 0
