t,i,x,y,r,theta,xK,tc, therm
1713500127.3687725, 3.2, -8.704252e-08, -3.140275e-08, 2.931682e-07, 332.0518, 0, 0, 0
1713500133.7957664, -3.2, 2.054208e-07, 1.147635e-07, 6.700364e-08, 319.1594, 0, 0, 0
1713500139.8480465, 3.2, 5.918914e-08, -1.77569e-07, 5.286013e-07, 288.4348, 0, 0, 0
1713500145.9399598, -3.2, 3.516525e-07, -3.140275e-08, 3.699055e-07, 340.3714, 0, 0, 0
1713500152.0219646, 3.2, 3.516525e-07, -3.140275e-08, 4.988735e-07, 356.391, 0, 0, 0
1713500158.0719054, -3.2, 3.516525e-07, -1.77569e-07, 3.939419e-07, 356.391, 0, 0, 0
1713500164.2191606, 3.2, 4.978842e-07, -1.77569e-07, 4.988735e-07, 357.2089, 0, 0, 0
1713500170.3146458, -3.2, 3.516525e-07, -3.140275e-08, 5.938797e-07, 340.3714, 0, 0, 0
1713500176.4009993, 3.2, 4.978842e-07, -3.140275e-08, 6.681436e-07, 347.3375, 0, 0, 0
1713500182.4936569, -3.2, 7.903475e-07, -3.237352e-07, 3.530518e-07, 333.2083, 0, 0, 0
