t,i,x,y,r,theta,xK,tc, therm
1713573711.4811008, 3.2, -1.715263e-06, 5.904031e-07, 1.807117e-06, 161.2248, 0, 0, 0
1713573717.8939486, -3.2, -1.605589e-06, 5.465532e-07, 1.677713e-06, 160.0197, 0, 0, 0
1713573723.967527, 3.2, -1.744509e-06, 5.904031e-07, 1.816421e-06, 160.5709, 0, 0, 0
1713573730.079777, -3.2, -1.634835e-06, 5.538615e-07, 1.684617e-06, 160.6533, 0, 0, 0
1713573736.144745, 3.2, -1.715263e-06, 5.904031e-07, 1.807117e-06, 161.0062, 0, 0, 0
1713573742.2407143, -3.2, -1.642147e-06, 5.319366e-07, 1.679868e-06, 160.7234, 0, 0, 0
1713573748.3390472, 3.2, -1.737197e-06, 5.904031e-07, 1.816421e-06, 160.7883, 0, 0, 0
1713573754.4701216, -3.2, -1.569031e-06, 5.757865e-07, 1.684617e-06, 160.7234, 0, 0, 0
1713573760.5537512, 3.2, -1.751821e-06, 5.977114e-07, 1.820944e-06, 161.0062, 0, 0, 0
1713573766.672009, -3.2, -1.525161e-06, 5.684781e-07, 1.68014e-06, 160.7234, 0, 0, 0
1713573772.7413921, 3.2, -1.751821e-06, 6.12328e-07, 1.818839e-06, 160.5709, 0, 0, 0
1713573778.8473444, -3.2, -1.678705e-06, 5.538615e-07, 1.684617e-06, 160.4881, 0, 0, 0
