t,i,x,y,r,theta,xK,tc, therm
1707415238.7677498, 3.2, -4.352126e-09, 3.497142e-08, 2.689733e-08, 63.22446, 0, 0, 0
1707415245.1222048, -3.2, -2.628688e-08, 2.03548e-08, 3.324632e-08, 133.5387, 0, 0, 0
1707415251.2136395, 3.2, -4.352126e-09, 2.03548e-08, 2.689733e-08, 57.56003, 0, 0, 0
1707415257.3062336, -3.2, -7.015637e-08, 1.304649e-08, 3.928326e-08, 153.5473, 0, 0, 0
1707415263.4213762, 3.2, -1.897529e-08, 1.304649e-08, 2.056881e-08, 63.22446, 0, 0, 0
1707415269.5139115, -3.2, -5.553321e-08, 1.304649e-08, 4.293999e-08, 142.2482, 0, 0, 0
1707415275.6222932, 3.2, 3.220579e-08, 5.738173e-09, 2.689733e-08, 77.21934, 0, 0, 0
1707415281.7313669, -3.2, -7.015637e-08, 2.766311e-08, 4.569408e-08, 145.9337, 0, 0, 0
1707415287.8367937, 3.2, 3.220579e-08, 5.738173e-09, 2.056881e-08, 77.21934, 0, 0, 0
1707415293.9354403, -3.2, -3.359846e-08, 5.738173e-09, 4.856183e-08, 159.8704, 0, 0, 0
1707415300.0708852, 3.2, -1.897529e-08, 2.03548e-08, 1.750008e-08, 102.0689, 0, 0, 0
1707415306.2005079, -3.2, -7.015637e-08, 2.03548e-08, 5.914605e-08, 153.5204, 0, 0, 0
1707415312.3087804, 3.2, 2.489421e-08, 2.03548e-08, 3.354563e-08, 112.8619, 0, 0, 0
1707415318.4243677, -3.2, -6.284479e-08, 2.766311e-08, 7.54133e-08, 168.272, 0, 0, 0
1707415324.5603356, 3.2, -4.352126e-09, 5.738173e-09, 2.081487e-08, 119.8136, 0, 0, 0
1707415330.681654, -3.2, -7.015637e-08, 5.738173e-09, 8.917857e-08, 166.4993, 0, 0, 0
1707415336.8080213, 3.2, -7.746796e-08, 3.497142e-08, 3.928326e-08, 132.9912, 0, 0, 0
1707415342.9296906, -3.2, -2.628688e-08, 1.304649e-08, 5.559292e-08, 162.0534, 0, 0, 0
1707415349.082728, 3.2, -4.822163e-08, 1.304649e-08, 3.604258e-08, 158.7785, 0, 0, 0
1707415355.2310388, -3.2, -9.940271e-08, 2.766311e-08, 9.615624e-08, 165.2782, 0, 0, 0
1707415361.3898706, 3.2, -7.746796e-08, 5.738173e-09, 4.293999e-08, 158.7785, 0, 0, 0
1707415367.538681, -3.2, -7.746796e-08, 3.497142e-08, 9.43138e-08, 168.4274, 0, 0, 0
1707415373.6774669, 3.2, 1.027104e-08, 1.304649e-08, 5.582888e-08, 168.272, 0, 0, 0
1707415379.8761313, -3.2, -8.477954e-08, 1.304649e-08, 1.068685e-07, 173.4728, 0, 0, 0
1707415386.031766, 3.2, -4.822163e-08, 2.03548e-08, 7.54133e-08, 163.8207, 0, 0, 0
1707415392.168384, -3.2, -1.140259e-07, 2.03548e-08, 1.075088e-07, 173.4728, 0, 0, 0
1707415398.342843, 3.2, -6.284479e-08, 1.304649e-08, 6.310621e-08, 158.4803, 0, 0, 0
1707415404.5654783, -3.2, -1.65207e-07, 1.304649e-08, 1.293089e-07, 170.4771, 0, 0, 0
