t,i,x,y,r,theta,xK,tc, therm
1713501225.9123695, 3.2, 4.153676e-06, -1.054566e-06, 4.537989e-06, 346.22, 0, 0, 0
1713501232.2264936, -3.2, 3.707147e-06, -9.239875e-07, 3.497837e-06, 341.8442, 0, 0, 0
1713501238.261443, 3.2, 3.203953e-06, -1.140882e-06, 3.525385e-06, 341.0596, 0, 0, 0
1713501244.3340619, -3.2, 3.576844e-06, -1.173769e-06, 4.274482e-06, 341.4663, 0, 0, 0
1713501250.42001, 3.2, 3.597473e-06, -1.104097e-06, 3.798054e-06, 342.9383, 0, 0, 0
1713501256.517714, -3.2, 3.743705e-06, -1.104097e-06, 3.924421e-06, 342.8976, 0, 0, 0
1713501262.6167626, 3.2, 3.560915e-06, -1.104097e-06, 3.76309e-06, 342.9383, 0, 0, 0
1713501268.6857803, -3.2, 3.81682e-06, -1.140639e-06, 3.924421e-06, 343.055, 0, 0, 0
1713501274.7717192, 3.2, 3.634031e-06, -1.140639e-06, 3.76309e-06, 342.5741, 0, 0, 0
1713501280.8729696, -3.2, 3.853379e-06, -1.140639e-06, 3.913615e-06, 343.5681, 0, 0, 0
1713501286.9827013, 3.2, 3.597473e-06, -1.104097e-06, 3.773973e-06, 342.4079, 0, 0, 0
1713501293.06742, -3.2, 3.707147e-06, -1.104097e-06, 3.889562e-06, 342.8976, 0, 0, 0
1713501299.1693985, 3.2, 3.560915e-06, -1.104097e-06, 3.728157e-06, 342.7734, 0, 0, 0
1713501305.2790926, -3.2, 3.670589e-06, -1.140639e-06, 3.878659e-06, 343.2589, 0, 0, 0
1713501311.384773, 3.2, 3.560915e-06, -1.104097e-06, 3.798054e-06, 342.9383, 0, 0, 0
1713501317.4834144, -3.2, 3.780263e-06, -1.104097e-06, 3.833048e-06, 342.8976, 0, 0, 0
1713501323.5612516, 3.2, 3.634031e-06, -1.17718e-06, 3.773973e-06, 343.1001, 0, 0, 0
1713501329.6277568, -3.2, 3.634031e-06, -1.140639e-06, 3.913615e-06, 342.7373, 0, 0, 0
1713501335.7599263, 3.2, 3.634031e-06, -1.140639e-06, 3.808837e-06, 342.5741, 0, 0, 0
1713501341.8819983, -3.2, 3.780263e-06, -1.140639e-06, 3.878659e-06, 342.3831, 0, 0, 0
1713501347.974254, 3.2, 3.597473e-06, -1.140639e-06, 3.868071e-06, 343.4149, 0, 0, 0
1713501354.1264918, -3.2, 3.853379e-06, -1.17718e-06, 4.029179e-06, 343.5107, 0, 0, 0
1713501360.2717743, 3.2, 3.743705e-06, -1.104097e-06, 3.892942e-06, 343.4149, 0, 0, 0
1713501366.4039283, -3.2, 3.853379e-06, -1.17718e-06, 4.029179e-06, 343.5107, 0, 0, 0
1713501372.5260258, 3.2, 3.707147e-06, -1.140639e-06, 3.903122e-06, 342.8976, 0, 0, 0
1713501378.6883614, -3.2, 3.707147e-06, -1.140639e-06, 3.889562e-06, 342.3831, 0, 0, 0
1713501384.7869322, 3.2, 3.560915e-06, -1.258114e-06, 9.561078e-06, 348.3341, 0, 0, 0
1713501390.9257636, -3.2, 9.069846e-06, -1.570137e-07, 9.93377e-06, 354.4091, 0, 0, 0
1713501397.0478766, 3.2, 9.801004e-06, -8.878449e-07, 9.113198e-06, 359.0082, 0, 0, 0
1713501403.2000828, -3.2, 1.199448e-05, -1.570137e-07, 1.202729e-05, 359.2931, 0, 0, 0
1713501409.3679717, 3.2, 1.199448e-05, -1.618676e-06, 1.199551e-05, 359.25, 0, 0, 0
1713501415.5244758, -3.2, 1.272564e-05, -1.570137e-07, 1.272661e-05, 359.2931, 0, 0, 0
1713501421.680039, 3.2, 1.199448e-05, -1.618676e-06, 1.129826e-05, 359.2013, 0, 0, 0
1713501427.858602, -3.2, 1.126332e-05, -1.570137e-07, 1.126441e-05, 348.2172, 0, 0, 0
1713501434.030917, 3.2, 1.126332e-05, -8.878449e-07, 9.841136e-06, 354.8239, 0, 0, 0
1713501440.1929674, -3.2, 1.053216e-05, -1.618676e-06, 1.129826e-05, 354.8239, 0, 0, 0
1713501446.3734584, 3.2, 3.597473e-06, -1.140639e-06, 3.843733e-06, 342.7373, 0, 0, 0
