t,i,x,y,r,theta,xK,tc, therm
1713499902.4225342, 3.2, 3.516525e-07, -3.140275e-08, 6.700364e-08, 108.448, 0, 0, 0
1713499908.7516654, -3.2, 3.516525e-07, 1.147635e-07, 6.542598e-07, 10.1025, 0, 0, 0
1713499914.8256538, 3.2, 1.082811e-06, -3.140275e-08, 1.083266e-06, 358.5364, 0, 0, 0
1713499920.9072502, -3.2, 9.365791e-07, -3.140275e-08, 1.234389e-06, 349.2645, 0, 0, 0
1713499927.0190687, 3.2, -8.704252e-08, 1.147635e-07, 6.700364e-08, 187.6669, 0, 0, 0
1713499933.098191, -3.2, 3.516525e-07, 1.147635e-07, 5.621147e-07, 357.2089, 0, 0, 0
1713499939.1900783, 3.2, 9.365791e-07, -3.140275e-08, 9.371054e-07, 357.7247, 0, 0, 0
1713499945.23244, -3.2, -8.704252e-08, -1.77569e-07, 1.87174e-07, 62.71762, 0, 0, 0
1713499951.3018866, 3.2, 9.365791e-07, -3.140275e-08, 4.988735e-07, 18.07434, 0, 0, 0
1713499957.4139616, -3.2, -9.644325e-07, 1.147635e-07, 6.727026e-07, 183.4183, 0, 0, 0
1713499963.4917085, 3.2, -3.795059e-07, -3.140275e-08, 2.59976e-07, 199.8382, 0, 0, 0
1713499969.5947654, -3.2, -3.795059e-07, -3.140275e-08, 6.727026e-07, 182.6756, 0, 0, 0
1713499975.6531184, 3.2, 5.918914e-08, -3.140275e-08, 2.931682e-07, 153.8043, 0, 0, 0
1713499981.7292547, -3.2, 6.441158e-07, -3.140275e-08, 6.542598e-07, 357.2089, 0, 0, 0
1713499987.8213892, 3.2, 9.365791e-07, 1.147635e-07, 6.681436e-07, 357.2089, 0, 0, 0
1713499993.9135232, -3.2, 9.365791e-07, -3.140275e-08, 1.083266e-06, 8.261965, 0, 0, 0
1713500000.0224278, 3.2, 7.903475e-07, -1.77569e-07, 3.939419e-07, 356.391, 0, 0, 0
