t,i,x,y,r,theta,xK,tc, therm
1698462397.0015461, 3.2, 9.801004e-05, -8.878449e-06, 9.113198e-05, 349.8811, 0, 0, 0
1698462403.3977547, -3.2, 9.069846e-05, -8.878449e-06, 9.93377e-05, 359.0082, 0, 0, 0
1698462409.5244973, 3.2, 9.801004e-05, -8.878449e-06, 9.213154e-05, 354.8239, 0, 0, 0
1698462415.6510236, -3.2, 9.801004e-05, -1.618676e-05, 9.93377e-05, 349.8811, 0, 0, 0
1698462421.802451, 3.2, 9.069846e-05, -1.570137e-06, 9.213154e-05, 354.4091, 0, 0, 0
1698462427.972976, -3.2, 9.801004e-05, -1.570137e-06, 9.841136e-05, 359.0822, 0, 0, 0
1698462434.0991518, 3.2, 9.069846e-05, -8.878449e-06, 9.113198e-05, 354.4091, 0, 0, 0
1698462440.2153115, -3.2, 9.801004e-05, -1.618676e-05, 9.213154e-05, 354.8239, 0, 0, 0
1698462446.3406396, 3.2, 9.801004e-05, -8.878449e-06, 9.113198e-05, 354.8239, 0, 0, 0
1698462452.52141, -3.2, 9.069846e-05, -8.878449e-06, 9.113198e-05, 359.0082, 0, 0, 0
1698462458.6662517, 3.2, 9.801004e-05, -8.878449e-06, 9.93377e-05, 350.622, 0, 0, 0
1698462464.7768748, -3.2, 9.069846e-05, -1.570137e-06, 9.841136e-05, 359.0082, 0, 0, 0
1698462470.9244633, 3.2, 9.801004e-05, -8.878449e-06, 9.113198e-05, 354.8239, 0, 0, 0
