t,i,x,y,r,theta,xK,tc, therm
1684279471.7881134, 3.2, -1.166371e-05, -0.0003085192, 0.0003087396, 269.1516, 0, 0, 0
1684279478.0882359, -3.2, 1.027104e-05, -0.0003158275, 0.0003090198, 273.2618, 0, 0, 0
1684279484.1440067, 3.2, 2.959457e-06, -0.0003012109, 0.0003085499, 269.1722, 0, 0, 0
1684279490.2051537, -3.2, 1.027104e-05, -0.0003085192, 0.0003090198, 271.8627, 0, 0, 0
1684279496.268713, 3.2, -4.352126e-06, -0.0003012109, 0.0003085334, 270.5496, 0, 0, 0
1684279502.3403065, -3.2, 1.027104e-05, -0.0003085192, 0.000301386, 272.0015, 0, 0, 0
1684279508.4587712, 3.2, 1.027104e-05, -0.0003231358, 0.0003158414, 270.5496, 0, 0, 0
1684279514.5297236, -3.2, 1.758262e-05, -0.0003012109, 0.0003017237, 273.2618, 0, 0, 0
1684279520.64769, 3.2, 2.959457e-06, -0.0003085192, 0.0003012424, 269.1722, 0, 0, 0
1684279526.7213643, -3.2, 1.758262e-05, -0.0003012109, 0.000301386, 271.8627, 0, 0, 0
1684279532.784407, 3.2, 2.959457e-06, -0.0003085192, 0.0003012424, 272.0015, 0, 0, 0
1684279538.9133801, -3.2, 1.027104e-05, -0.0003085192, 0.0003017237, 273.2618, 0, 0, 0
1684279545.0025718, 3.2, 2.959457e-06, -0.0003012109, 0.0003158414, 270.5496, 0, 0, 0
1684279551.152274, -3.2, 1.758262e-05, -0.0003012109, 0.0003090198, 273.2618, 0, 0, 0
1684279557.2720296, 3.2, -4.352126e-06, -0.0002939026, 0.0003012255, 270.5496, 0, 0, 0
1684279563.3834436, -3.2, 1.758262e-05, -0.0003085192, 0.0003022379, 273.2618, 0, 0, 0
1684279569.507781, 3.2, 2.959457e-06, -0.0003085192, 0.0003159945, 273.2618, 0, 0, 0
1684279575.6230936, -3.2, 2.489421e-05, -0.0003085192, 0.0003022379, 276.4117, 0, 0, 0
1684279581.7509658, 3.2, 1.027104e-05, -0.0003085192, 0.000301386, 273.3408, 0, 0, 0
1684279587.8382134, -3.2, 2.489421e-05, -0.0003012109, 0.0003095219, 275.9594, 0, 0, 0
1684279593.9600616, 3.2, 1.027104e-05, -0.0002939026, 0.0003017237, 274.6132, 0, 0, 0
1684279600.0850046, -3.2, 3.951737e-05, -0.0003085192, 0.0003037921, 276.103, 0, 0, 0
1684279606.145848, 3.2, 1.758262e-05, -0.0003012109, 0.0003101956, 274.7246, 0, 0, 0
1684279612.2785952, -3.2, 3.951737e-05, -0.0003085192, 0.000312053, 277.4742, 0, 0, 0
1684279618.3925974, 3.2, 3.220579e-05, -0.0003085192, 0.0003029277, 274.6132, 0, 0, 0
1684279624.490202, -3.2, 3.951737e-05, -0.0003085192, 0.0003029277, 277.132, 0, 0, 0
1684279630.628755, 3.2, 2.489421e-05, -0.0003085192, 0.0003022379, 274.6132, 0, 0, 0
1684279636.7681296, -3.2, 3.220579e-05, -0.0003085192, 0.0003029277, 276.103, 0, 0, 0
1684279642.9278464, 3.2, 1.758262e-05, -0.0003158275, 0.0003095219, 275.9594, 0, 0, 0
1684279649.076145, -3.2, 3.220579e-05, -0.0003012109, 0.0003029277, 277.4742, 0, 0, 0
1684279655.1972053, 3.2, 1.758262e-05, -0.0003012109, 0.0003095219, 274.7246, 0, 0, 0
1684279661.372467, -3.2, 4.682895e-05, -0.0003012109, 0.0003037921, 277.2991, 0, 0, 0
1684279667.508267, 3.2, 3.220579e-05, -0.0003012109, 0.0003095219, 277.4742, 0, 0, 0
1684279673.6853685, -3.2, 4.682895e-05, -0.0003158275, 0.0003037921, 278.6308, 0, 0, 0
1684279679.8630254, 3.2, 2.489421e-05, -0.0002939026, 0.0002956619, 275.9594, 0, 0, 0
1684279686.0338962, -3.2, 4.682895e-05, -0.0003012109, 0.0003048294, 279.9532, 0, 0, 0
1684279692.1824193, 3.2, 3.951737e-05, -0.0003012109, 0.0003037921, 275.9594, 0, 0, 0
1684279698.3453603, -3.2, 4.682895e-05, -0.0003012109, 0.0003132336, 279.9532, 0, 0, 0
1684279704.5143998, 3.2, 3.951737e-05, -0.0003012109, 0.0003029277, 277.4742, 0, 0, 0
1684279710.6803925, -3.2, 5.414054e-05, -0.0003012109, 0.000312053, 278.6308, 0, 0, 0
1684279716.8442142, 3.2, 3.951737e-05, -0.0003012109, 0.0003037921, 277.6579, 0, 0, 0
1684279723.0260365, -3.2, 1.027104e-05, -0.0003158275, 0.0003090198, 271.953, 0, 0, 0
1684279729.2090995, 3.2, 2.959457e-06, -0.0003012109, 0.0003086901, 270.5629, 0, 0, 0
1684279735.3820293, -3.2, 1.758262e-05, -0.0003085192, 0.0003022379, 274.6132, 0, 0, 0
1684279741.5609565, 3.2, 2.959457e-06, -0.0003012109, 0.000301386, 271.953, 0, 0, 0
1684279747.7274969, -3.2, 1.758262e-05, -0.0003085192, 0.0003017237, 273.3408, 0, 0, 0
1684279753.915305, 3.2, 1.027104e-05, -0.0003012109, 0.0003012255, 273.3408, 0, 0, 0
1684279760.1229045, -3.2, 3.220579e-05, -0.0003085192, 0.0003101956, 274.6132, 0, 0, 0
1684279766.3539345, 3.2, 1.027104e-05, -0.0003012109, 0.0003086901, 273.2618, 0, 0, 0
1684279772.600537, -3.2, 3.220579e-05, -0.0003012109, 0.0003037921, 276.103, 0, 0, 0
1684279778.8002062, 3.2, 1.758262e-05, -0.0003012109, 0.000301386, 273.3408, 0, 0, 0
1684279785.0083852, -3.2, 3.220579e-05, -0.0003012109, 0.0003174653, 274.7246, 0, 0, 0
1684279791.2425702, 3.2, 1.758262e-05, -0.0002865943, 0.0003168071, 274.6132, 0, 0, 0
1684279797.4764795, -3.2, 3.951737e-05, -0.0003012109, 0.0003048294, 278.6308, 0, 0, 0
1684279803.7143726, 3.2, 3.951737e-05, -0.0003158275, 0.0003095219, 274.6132, 0, 0, 0
1684279809.9337234, -3.2, 4.682895e-05, -0.0003085192, 0.0003048294, 278.837, 0, 0, 0
1684279816.163006, 3.2, -0.0003479965, -0.0003085192, 0.00047247, 219.1537, 0, 0, 0
1684279822.4274857, -3.2, -0.0003845544, -0.0003085192, 0.0004930175, 219.2772, 0, 0, 0
1684279828.6471193, 3.2, -0.0003991776, -0.0003085192, 0.0005147626, 217.7, 0, 0, 0
1684279834.906374, -3.2, -0.0003845544, -0.0003085192, 0.0004816983, 219.1537, 0, 0, 0
1684279841.1459515, 3.2, -0.0003845544, -0.0003085192, 0.0004816983, 219.2772, 0, 0, 0
1684279847.3618615, -3.2, -0.0003845544, -0.0003012109, 0.0004770505, 218.6058, 0, 0, 0
1684279853.6188827, 3.2, -0.0003699313, -0.0003012109, 0.00047247, 218.6058, 0, 0, 0
1684279859.8295002, -3.2, -0.0003699313, -0.0003012109, 0.000494254, 217.548, 0, 0, 0
1684279866.1004066, 3.2, -0.0003991776, -0.0003012109, 0.0005161542, 215.3001, 0, 0, 0
1684279872.348135, -3.2, -0.0004869166, -0.0003085192, 0.0005950747, 210.9879, 0, 0, 0
1684279878.6334171, 3.2, -0.0005234745, -0.0003012109, 0.0006113694, 209.8279, 0, 0, 0
1684279884.8828082, -3.2, -0.0005380977, -0.0003158275, 0.0006067228, 209.5741, 0, 0, 0
