t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1708630824.4984848, 0, 0.0001148093, -7.850687e-07, 0.0001111562, 357.7857, 0, 0, 0, 0.0, +1.108431E-05, -1.567050E-09
1708630829.1772583, 0, 0.0001148093, 2.869087e-06, 0.0001075006, 357.6353, 0, 0, 0, 0.5, +4.999918E-01, +6.150532E-11
1708630833.8631794, 0, 0.0001001861, -4.439225e-06, 0.0001038449, 357.5521, 0, 0, 0, 1.0, +9.999862E-01, +9.063347E-10
1708630838.5389187, 0, 0.0001038419, -4.439225e-06, 0.0001039367, 357.5521, 0, 0, 0, 1.5, +1.499954E+00, +1.823619E-09
1708630843.1946623, 0, 0.0001001861, -7.850687e-07, 0.0001041568, 359.551, 0, 0, 0, 2.0, +1.999960E+00, +2.812153E-09
1708630847.8979409, 0, 0.0001001861, -4.439225e-06, 0.0001002844, 357.5521, 0, 0, 0, 2.5, +2.499893E+00, +4.051343E-09
1708630852.58296, 0, 0.0001001861, -7.850687e-07, 0.0001001892, 1.640364, 0, 0, 0, 3.0, +2.999887E+00, +6.083361E-09
1708630857.2866914, 0, 9.653031e-05, -4.439225e-06, 9.663234e-05, 357.4629, 0, 0, 0, 3.5, +3.499951E+00, +6.389830E-09
1708630862.0109613, 0, 0.0001001861, -7.850687e-07, 0.0001039367, 355.5434, 0, 0, 0, 4.0, +3.999972E+00, +8.376502E-09
1708630866.663187, 0, 0.0001038419, -4.439225e-06, 0.0001039367, 359.551, 0, 0, 0, 4.5, +4.499938E+00, +7.272318E-09
1708630871.3492322, 0, 0.0001001861, -4.439225e-06, 0.0001038449, 357.4629, 0, 0, 0, 5.0, +4.999997E+00, +8.382736E-09
1708630876.0051353, 0, 0.0001038419, -7.850687e-07, 9.653351e-05, 357.3669, 0, 0, 0, 5.5, +5.500016E+00, +9.492649E-09
1708630880.6576638, 0, 0.0001001861, -7.850687e-07, 0.0001005125, 1.640364, 0, 0, 0, 6.0, +6.000075E+00, +1.421957E-08
1708630885.3295898, 0, 9.653031e-05, -4.439225e-06, 0.0001002272, 359.534, 0, 0, 0, 6.5, +6.500050E+00, +1.454891E-08
1708630890.0160258, 0, 9.653031e-05, -7.850687e-07, 0.0001001892, 359.551, 0, 0, 0, 7.0, +7.000012E+00, +1.772591E-08
1708630894.7180514, 0, 0.0001001861, -7.850687e-07, 9.653351e-05, 359.551, 0, 0, 0, 7.5, +7.499726E+00, +5.733248E-08
1708630899.433747, 0, 9.287452e-05, -7.850687e-07, 9.653351e-05, 359.551, 0, 0, 0, 8.0, +7.999781E+00, +5.009957E-08
1708630904.1197555, 0, 9.653031e-05, -7.850687e-07, 0.0001002844, 359.534, 0, 0, 0, 8.5, +8.499801E+00, +3.931426E-08
1708630908.7856557, 0, 9.287452e-05, -7.850687e-07, 8.926485e-05, 357.03, 0, 0, 0, 9.0, +8.999766E+00, +7.899575E-08
1708630913.490843, 0, 8.556294e-05, -7.850687e-07, 8.230603e-05, 359.4508, 0, 0, 0, 9.5, +9.499948E+00, +1.914782E-07
1708630918.1900692, 0, 8.190714e-05, -4.439225e-06, 8.191091e-05, 357.03, 0, 0, 0, 10.0, +1.000005E+01, +2.240412E-07
