t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1708628630.2997174, 0, 0.0001001861, -7.850687e-07, 9.653351e-05, 3.594539, 0, 0, 0, 0.0, +2.417344E-05, -2.311814E-11
1708628634.9453528, 0, 9.653031e-05, 6.523243e-06, 9.287784e-05, 359.5157, 0, 0, 0, 8.0, +7.999879E+00, +9.673720E-13
1708628639.5878923, 0, 9.287452e-05, 6.523243e-06, 9.287784e-05, 1.769423, 0, 0, 0, 16.0, +1.599980E+01, +5.442521E-12
1708628644.240191, 0, 9.287452e-05, 2.869087e-06, 8.926485e-05, 359.5157, 0, 0, 0, 24.0, +2.400024E+01, +1.881780E-11
1708628648.9059286, 0, 8.921873e-05, -7.850687e-07, 9.287784e-05, 1.841877, 0, 0, 0, 32.0, +3.200195E+01, +1.942113E-11
1708628653.5483942, 0, 9.287452e-05, 2.869087e-06, 9.657294e-05, 359.4958, 0, 0, 0, 40.0, +4.000159E+01, +9.364558E-12
1708628658.2043214, 0, 9.287452e-05, 2.869087e-06, 8.926485e-05, 1.841877, 0, 0, 0, 48.0, +4.800063E+01, +2.449969E-11
1708628662.8575943, 0, 9.287452e-05, 2.869087e-06, 9.291882e-05, 1.769423, 0, 0, 0, 56.0, +5.599886E+01, +2.555567E-11
1708628667.5123668, 0, 8.921873e-05, 2.869087e-06, 9.287784e-05, 1.769423, 0, 0, 0, 64.0, +6.400188E+01, +2.203582E-11
1708628672.1648238, 0, 8.921873e-05, 6.523243e-06, 8.926485e-05, 1.841877, 0, 0, 0, 72.0, +7.200054E+01, +3.138842E-11
1708628676.82059, 0, 9.287452e-05, -7.850687e-07, 9.287784e-05, 359.5157, 0, 0, 0, 80.0, +7.999963E+01, +3.319860E-11
1708628681.496507, 0, 9.287452e-05, 2.869087e-06, 9.657294e-05, 359.534, 0, 0, 0, 80.0, +7.999963E+01, +1.725896E-11
1708628686.1665795, 0, 8.921873e-05, -7.850687e-07, 9.291882e-05, 1.769423, 0, 0, 0, 72.0, +7.200041E+01, -6.776248E-12
1708628690.8311856, 0, 8.921873e-05, 2.869087e-06, 8.926485e-05, 1.769423, 0, 0, 0, 64.0, +6.400175E+01, -2.015147E-11
1708628695.5169454, 0, 9.653031e-05, 2.869087e-06, 0.0001001892, 359.5668, 0, 0, 0, 56.0, +5.599869E+01, -3.262161E-11
1708628700.1927173, 0, 0.0001074977, -4.439225e-06, 0.0001075006, 359.5816, 0, 0, 0, 48.0, +4.800060E+01, -3.322500E-11
1708628704.855175, 0, 0.0001074977, -4.439225e-06, 0.0001075006, 359.5668, 0, 0, 0, 40.0, +4.000158E+01, -3.573943E-11
1708628709.515387, 0, 0.0001038419, 2.869087e-06, 0.0001002272, 359.5816, 0, 0, 0, 32.0, +3.200171E+01, -4.584786E-11
1708628714.1733363, 0, 0.0001074977, -7.850687e-07, 0.0001038815, 359.5668, 0, 0, 0, 24.0, +2.400009E+01, -4.358477E-11
1708628718.8357372, 0, 0.0001038419, -7.850687e-07, 0.0001039367, 359.5668, 0, 0, 0, 16.0, +1.599980E+01, -4.252868E-11
1708628723.5015926, 0, 0.0001038419, -4.439225e-06, 0.0001038449, 1.528847, 0, 0, 0, 8.0, +7.999865E+00, -4.720571E-11
1708628728.1573737, 0, 0.0001038419, -7.850687e-07, 0.0001038449, 3.4726, 0, 0, 0, 0.0, +2.135472E-05, -5.158098E-11
1708628732.8431456, 0, 0.0001074977, -7.850687e-07, 0.0001039367, 359.5816, 0, 0, 0, 0.0, +2.326714E-05, -3.860600E-11
1708628737.512184, 0, 0.0001001861, 2.869087e-06, 0.0001002272, 359.551, 0, 0, 0, -8.0, -8.000949E+00, -5.535280E-11
1708628742.187894, 0, 9.653031e-05, -7.850687e-07, 9.663234e-05, 359.534, 0, 0, 0, -16.0, -1.600045E+01, -5.746498E-11
1708628746.853737, 0, 0.0001001861, -7.850687e-07, 0.0001038815, 3.594539, 0, 0, 0, -24.0, -2.400862E+01, -6.636644E-11
1708628751.5462043, 0, 0.0001001861, -7.850687e-07, 0.0001038449, 1.582644, 0, 0, 0, -32.0, -3.200558E+01, -5.932572E-11
1708628756.2020905, 0, 0.0001038419, 6.523243e-06, 0.000107536, 3.4726, 0, 0, 0, -40.0, -4.000733E+01, -5.706266E-11
1708628760.8742902, 0, 0.0001074977, -4.439225e-06, 0.0001075006, 357.6353, 0, 0, 0, -48.0, -4.800804E+01, -6.661786E-11
1708628765.526633, 0, 0.0001074977, -7.850687e-07, 0.0001075006, 359.5816, 0, 0, 0, -56.0, -5.600815E+01, -6.375129E-11
1708628770.1825466, 0, 0.0001038419, -7.850687e-07, 0.0001038449, 1.582644, 0, 0, 0, -64.0, -6.400948E+01, -6.702018E-11
1708628774.8382704, 0, 0.0001038419, -7.850687e-07, 0.0001038449, 1.582644, 0, 0, 0, -72.0, -7.200983E+01, -7.617304E-11
1708628779.4841483, 0, 8.921873e-05, -7.850687e-07, 8.922219e-05, 1.841877, 0, 0, 0, -80.0, -8.000714E+01, -7.556959E-11
1708628784.1430795, 0, 8.556294e-05, -7.850687e-07, 8.556655e-05, 357.03, 0, 0, 0, -80.0, -8.000721E+01, -5.746497E-11
1708628788.818913, 0, 8.921873e-05, -7.850687e-07, 8.926485e-05, 359.4508, 0, 0, 0, -72.0, -7.201001E+01, -3.473362E-11
1708628793.4847317, 0, 8.190714e-05, -7.850687e-07, 7.825529e-05, 359.4743, 0, 0, 0, -64.0, -6.400944E+01, -2.568259E-11
1708628798.1971169, 0, 8.556294e-05, 2.869087e-06, 7.830394e-05, 359.4508, 0, 0, 0, -56.0, -5.600810E+01, -1.406729E-11
1708628802.8529258, 0, 8.190714e-05, 2.869087e-06, 7.825529e-05, 1.920516, 0, 0, 0, -48.0, -4.800809E+01, -7.480277E-12
1708628807.501901, 0, 7.825135e-05, -7.850687e-07, 8.567802e-05, 2.006166, 0, 0, 0, -40.0, -4.000745E+01, -1.401704E-11
1708628812.167691, 0, 8.190714e-05, -4.439225e-06, 8.191091e-05, 359.4508, 0, 0, 0, -32.0, -3.200558E+01, -5.519233E-12
1708628816.843531, 0, 8.556294e-05, -7.850687e-07, 8.561103e-05, 359.4508, 0, 0, 0, -24.0, -2.400877E+01, +3.229934E-12
1708628821.5092638, 0, 8.556294e-05, -7.850687e-07, 8.216649e-05, 356.8977, 0, 0, 0, -16.0, -1.600047E+01, -3.608534E-12
1708628826.2050307, 0, 8.190714e-05, -4.439225e-06, 7.825529e-05, 359.4508, 0, 0, 0, -8.0, -8.000948E+00, +5.693800E-12
1708628830.9075158, 0, 8.190714e-05, -7.850687e-07, 8.567802e-05, 2.099809, 0, 0, 0, 0.0, -6.359055E-05, +1.001807E-11
1708628835.5997734, 0, 8.190714e-05, -4.439225e-06, 8.191091e-05, 2.006166, 0, 0, 0, 0.0, -6.198014E-05, -5.569527E-12
1708628840.2755804, 0, 8.190714e-05, 2.869087e-06, 7.825529e-05, 359.4508, 0, 0, 0, 8.0, +7.999844E+00, +1.595146E-11
1708628844.958108, 0, 8.190714e-05, 2.869087e-06, 8.195738e-05, 359.4743, 0, 0, 0, 16.0, +1.599978E+01, +1.313560E-11
1708628849.6469762, 0, 7.825135e-05, -7.850687e-07, 7.830394e-05, 359.4743, 0, 0, 0, 24.0, +2.399993E+01, +2.686272E-11
