t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1708631638.4303837, 0, 8.556294e-05, -7.850687e-07, 8.926485e-05, 359.5157, 0, 0, 0, 0.0, +1.027907E-05, -1.745425E-09
1708631643.1467097, 0, 8.556294e-05, -4.439225e-06, 8.93291e-05, 357.03, 0, 0, 0, 0.5, +4.999883E-01, -8.628011E-11
1708631647.8607512, 0, 9.287452e-05, -4.439225e-06, 8.556655e-05, 357.1515, 0, 0, 0, 1.0, +9.999861E-01, +7.852060E-10
1708631652.5809472, 0, 8.921873e-05, -7.850687e-07, 9.298055e-05, 1.841877, 0, 0, 0, 1.5, +1.499957E+00, +1.556624E-09
1708631657.2472563, 0, 8.921873e-05, -4.439225e-06, 8.926485e-05, 1.920516, 0, 0, 0, 2.0, +1.999960E+00, +2.292189E-09
1708631662.0400932, 0, 8.921873e-05, -4.439225e-06, 8.922219e-05, 359.4958, 0, 0, 0, 2.5, +2.499883E+00, +3.007594E-09
1708631666.7154522, 0, 8.921873e-05, -7.850687e-07, 8.567802e-05, 357.1515, 0, 0, 0, 3.0, +2.999879E+00, +3.682570E-09
1708631671.4110143, 0, 8.921873e-05, -7.850687e-07, 8.922219e-05, 357.1515, 0, 0, 0, 3.5, +3.499952E+00, +4.367357E-09
1708631676.0871012, 0, 8.921873e-05, -4.439225e-06, 8.594486e-05, 357.2635, 0, 0, 0, 4.0, +3.999976E+00, +5.029615E-09
1708631680.7787714, 0, 8.556294e-05, -7.850687e-07, 8.926485e-05, 359.4958, 0, 0, 0, 4.5, +4.499928E+00, +5.706152E-09
1708631685.4858453, 0, 9.287452e-05, -7.850687e-07, 8.567802e-05, 357.03, 0, 0, 0, 5.0, +4.999993E+00, +6.387513E-09
1708631690.1755145, 0, 8.556294e-05, -4.439225e-06, 8.567802e-05, 359.4958, 0, 0, 0, 5.5, +5.499973E+00, +7.071032E-09
1708631694.8801634, 0, 8.921873e-05, -7.850687e-07, 8.922219e-05, 357.1515, 0, 0, 0, 6.0, +6.000048E+00, +7.743351E-09
1708631699.5355186, 0, 8.921873e-05, -4.439225e-06, 8.922219e-05, 357.03, 0, 0, 0, 6.5, +6.500041E+00, +8.425008E-09
1708631704.2012317, 0, 8.556294e-05, -4.439225e-06, 8.556655e-05, 359.4743, 0, 0, 0, 7.0, +6.999982E+00, +9.135492E-09
1708631708.8839476, 0, 8.921873e-05, -7.850687e-07, 9.298055e-05, 357.1515, 0, 0, 0, 7.5, +7.499671E+00, +9.768740E-09
1708631713.5811512, 0, 8.921873e-05, -4.439225e-06, 8.567802e-05, 357.03, 0, 0, 0, 8.0, +7.999739E+00, +1.043089E-08
1708631718.2718182, 0, 8.556294e-05, -7.850687e-07, 8.93291e-05, 359.4958, 0, 0, 0, 8.5, +8.499748E+00, +1.106715E-08
1708631722.9644775, 0, 8.921873e-05, -7.850687e-07, 8.556655e-05, 356.8977, 0, 0, 0, 9.0, +8.999771E+00, +1.170647E-08
1708631727.670245, 0, 8.921873e-05, -4.439225e-06, 8.922219e-05, 357.03, 0, 0, 0, 9.5, +9.499793E+00, +1.231463E-08
1708631732.3460703, 0, 8.921873e-05, -7.850687e-07, 8.926485e-05, 357.1515, 0, 0, 0, 10.0, +9.999818E+00, +1.293415E-08
1708631737.0413907, 0, 8.921873e-05, -4.439225e-06, 8.922219e-05, 359.4958, 0, 0, 0, 10.5, +1.049985E+01, +1.351646E-08
1708631741.7139287, 0, 8.556294e-05, -4.439225e-06, 8.926485e-05, 357.03, 0, 0, 0, 11.0, +1.099985E+01, +1.408153E-08
1708631746.4163258, 0, 8.921873e-05, -4.439225e-06, 8.922219e-05, 354.8167, 0, 0, 0, 11.5, +1.149981E+01, +1.466392E-08
1708631751.1221426, 0, 8.921873e-05, -7.850687e-07, 8.93291e-05, 359.4958, 0, 0, 0, 12.0, +1.199991E+01, +1.523345E-08
1708631755.777524, 0, 9.287452e-05, -7.850687e-07, 8.567802e-05, 359.4958, 0, 0, 0, 12.5, +1.249992E+01, +1.580979E-08
1708631760.460503, 0, 8.921873e-05, -4.439225e-06, 8.926485e-05, 359.4743, 0, 0, 0, 13.0, +1.299962E+01, +1.636314E-08
1708631765.1463037, 0, 7.838191e-05, -4.439225e-07, 7.838195e-05, 0.2097242, 0, 0, 0, 13.5, +1.349957E+01, +1.693545E-08
1708631769.8517592, 0, 7.838191e-05, -4.439225e-07, 7.838317e-05, 359.9429, 0, 0, 0, 14.0, +1.399958E+01, +1.751851E-08
1708631774.5261903, 0, -2.176063e-07, -7.850687e-08, 9.80643e-07, 185.9785, 0, 0, 0, 14.5, +1.449969E+01, +1.810127E-08
1708631779.2268498, 0, -1.349683e-06, -8.878449e-09, 1.34978e-06, 180.6834, 0, 0, 0, 15.0, +1.499963E+01, +1.868445E-08
