t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1686782005.0371542, 0, -2.628688e-05, 2.766311e-05, 2.302765e-05, 131.7971, 0, 0, 0, 0.0, +4.851125E-05, +5.937099E-09
1686782009.7330258, 0, 2.959457e-06, 2.03548e-05, 2.279939e-05, 63.22446, 0, 0, 0, 0.09523809523809523, +1.464495E-02, +9.999798E-07
1686782014.4015622, 0, -4.352126e-06, 2.03548e-05, 2.782767e-05, 145.4895, 0, 0, 0, 0.19047619047619047, +1.464727E-02, +9.999793E-07
1686782019.0913177, 0, -2.628688e-05, 2.03548e-05, 3.324632e-05, 163.1745, 0, 0, 0, 0.2857142857142857, +1.464629E-02, +9.999856E-07
1686782023.7568512, 0, -1.897529e-05, 5.738174e-06, 2.934639e-05, 145.4895, 0, 0, 0, 0.38095238095238093, +1.464416E-02, +9.999852E-07
1686782028.4528322, 0, -1.897529e-05, 1.304649e-05, 2.690588e-05, 132.9912, 0, 0, 0, 0.47619047619047616, +1.464698E-02, +9.999853E-07
1686782033.14069, 0, -1.897529e-05, 5.738174e-06, 2.302765e-05, 153.6042, 0, 0, 0, 0.5714285714285714, +1.464697E-02, +9.999859E-07
1686782037.8421602, 0, -3.359846e-05, 1.304649e-05, 3.604258e-05, 158.7785, 0, 0, 0, 0.6666666666666666, +1.464897E-02, +9.999861E-07
1686782042.533398, 0, -3.359846e-05, 1.304649e-05, 3.324632e-05, 153.6042, 0, 0, 0, 0.7619047619047619, +1.464947E-02, +9.999858E-07
1686782047.2055306, 0, -1.897529e-05, 2.03548e-05, 1.982393e-05, 153.6042, 0, 0, 0, 0.8571428571428571, +1.465249E-02, +9.999861E-07
1686782051.8813708, 0, -1.897529e-05, 1.304649e-05, 3.354563e-05, 167.686, 0, 0, 0, 0.9523809523809523, +1.465167E-02, +9.999853E-07
1686782056.557257, 0, -1.897529e-05, 1.304649e-05, 2.934639e-05, 145.4895, 0, 0, 0, 1.0476190476190474, +1.465216E-02, +9.999858E-07
1686782061.2427468, 0, 1.027104e-05, 2.03548e-05, 1.660437e-05, 63.22446, 0, 0, 0, 1.1428571428571428, +1.465296E-02, +9.999852E-07
1686782065.9560905, 0, 1.027104e-05, 5.738174e-06, 1.660437e-05, 51.78788, 0, 0, 0, 1.2380952380952381, +1.465344E-02, +9.999848E-07
1686782070.627925, 0, 1.027104e-05, 1.304649e-05, 2.189428e-05, 29.191, 0, 0, 0, 1.3333333333333333, +1.465395E-02, +9.999853E-07
1686782075.3236206, 0, 2.959457e-06, 1.304649e-05, 6.456394e-06, 108.448, 0, 0, 0, 1.4285714285714284, +1.465574E-02, +9.999839E-07
1686782080.0293446, 0, -4.352126e-06, 1.304649e-05, 1.375325e-05, 108.448, 0, 0, 0, 1.5238095238095237, +1.465615E-02, +9.999852E-07
1686782084.72192, 0, -4.352126e-06, 1.304649e-05, 1.29988e-05, 127.1785, 0, 0, 0, 1.619047619047619, +1.465593E-02, +9.999851E-07
1686782089.3975813, 0, -1.166371e-05, 1.304649e-05, 1.375325e-05, 77.21934, 0, 0, 0, 1.7142857142857142, +1.465825E-02, +9.999853E-07
1686782094.07, 0, 2.959457e-06, 1.304649e-05, 1.375325e-05, 62.71762, 0, 0, 0, 1.8095238095238093, +1.465864E-02, +9.999848E-07
1686782098.7612343, 0, -1.166371e-05, 1.304649e-05, 1.375325e-05, 127.1785, 0, 0, 0, 1.9047619047619047, +1.465904E-02, +9.999849E-07
1686782103.446419, 0, -1.897529e-05, 5.738174e-06, 2.690588e-05, 170.3081, 0, 0, 0, 2.0, +1.466005E-02, +9.999857E-07
