t,i,temp_desired,temp_tc
1680214875.7929473,25,1.3243188140000006,22.3905048
1680214876.7867095,25,1.3779577500000009,22.3877182
1680214877.7674227,25,1.4292118575201425,22.3865089
1680214878.747225,25,1.481154391520142,22.3871383
1680214879.8102925,25,1.5293605497881806,22.3996295
1680214880.800166,25,1.5527026119160146,22.4531879
1680214881.7873285,25,1.566882965916014,22.5238723
1680214882.77383,25,1.563731166091859,22.6237068
1680214883.7598305,25,1.5359554194496912,22.7658538
1680214884.7359462,25,1.4957285314496898,22.9291419
1680214885.7260692,25,1.4378604304191653,23.1189899
1680214886.715773,25,1.360284799939056,23.3394985
1680214887.7020519,25,1.2801716025789627,23.5565395
1680214888.6888826,25,1.182958034508626,23.7983131
1680214889.6734295,25,1.0773825525086258,24.0475616
1680214890.648573,25,0.9632704929885354,24.302782
1680214891.6251507,25,0.8372078427489137,24.5717792
1680214892.6445436,25,0.7083043722487704,24.836235
1680214893.6251583,25,0.5788716608986884,25.0914955
1680214894.6111307,25,0.4479211952187101,25.3400135
1680214895.6074698,25,0.3193904897888712,25.5744419
1680214896.5903158,25,0.18985978026892303,25.801939
1680214897.5703409,25,0.06365871668498968,26.0144138
1680214898.5497415,25,0,26.2075748
1680214899.5260017,25,0,26.3887729
1680214900.506532,25,0,26.5441722
1680214901.4929488,25,0,26.683691
1680214902.4794796,25,0,26.8269081
1680214903.4757915,25,0,26.9293212
1680214904.4686787,25,0,27.0067043
1680214905.4489386,25,0,27.0921096
1680214906.4352677,25,0,27.149065
1680214907.4149983,25,0,27.2037639
1680214908.4009259,25,0,27.255886
1680214909.3843162,25,0,27.2823696
1680214910.3690774,25,0,27.3186244
1680214911.3512626,25,0,27.3369388
1680214912.3309648,25,0,27.3440876
1680214913.3070745,25,0,27.3625793
1680214914.293643,25,0,27.3753833
1680214915.2800112,25,0,27.3836288
1680214916.260187,25,0,27.3936595
1680214917.2398508,25,0,27.3841819
1680214918.2432969,25,0,27.3769054
1680214919.2265096,25,0,27.366106
1680214920.2061594,25,0,27.3587684
1680214921.1824272,25,0,27.3657302
1680214922.2087982,25,0,27.3350734
1680214923.192248,25,0,27.3137493
1680214924.1759732,25,0,27.2953147
1680214925.1728995,25,0,27.2742481
1680214926.1613698,25,0,27.2554931
1680214927.1439927,25,0,27.2307262
1680214928.134765,25,0,27.2122554
1680214929.1170769,25,0,27.1902656
1680214930.1001403,25,0,27.1660442
1680214931.0983183,25,0,27.1516952
1680214932.0767536,25,0,27.1280231
1680214933.0599356,25,0,27.1059474
1680214934.033371,25,0,27.0898075
1680214935.056271,25,0,27.0703201
1680214936.04274,25,0,27.0349273
1680214937.032415,25,0,27.0088596
1680214938.020272,25,0,26.9846782
1680214939.005704,25,0,26.9422664
1680214939.982136,25,0,26.9335021
1680214940.9785433,25,0,26.9067955
1680214941.9707432,25,0,26.882843
1680214942.944883,25,0,26.85359
1680214943.9311793,25,0,26.8291645
1680214944.9171307,25,0,26.7893257
1680214945.9075248,25,0,26.7735462
1680214946.891839,25,0,26.7429428
1680214947.8669982,25,0,26.7144737
1680214948.8469932,25,0,26.6767292
1680214949.8338213,25,0,26.6474666
1680214950.813129,25,0,26.6271915
1680214951.7955654,25,0,26.5938568
1680214952.7962317,25,0,26.5626354
1680214953.7781565,25,0,26.5451049
1680214954.7693336,25,0,26.5166778
1680214955.7531376,25,0,26.4718914
1680214956.7347085,25,0,26.4463691
1680214957.712078,25,0,26.4112358
1680214958.7012599,25,0,26.3869571
1680214959.6876357,25,0,26.3624687
1680214960.6816938,25,0,26.3387527
1680214961.6604514,25,0,26.3202857
1680214962.6354754,25,0,26.2730102
1680214963.6167777,25,0,26.2577095
1680214964.6457574,25,0,26.2301559
1680214965.6370988,25,0,26.2007484
1680214966.626791,25,0,26.1703224
1680214967.6167686,25,0,26.1381645
1680214968.615049,25,0,26.1029758
1680214969.5941463,25,0,26.0848274
1680214970.5761917,25,0,26.0583286
1680214971.5526748,25,0,26.0246334
1680214972.5327003,25,0,26.0134983
1680214973.5289786,25,0,25.9750232
1680214974.5052843,25,0,25.9548778
1680214975.4883168,25,0,25.9277877
1680214976.4701083,25,0,25.8967399
1680214977.4545083,25,0,25.8683891
1680214978.4247081,25,0,25.8524246
1680214979.411339,25,0,25.8155536
1680214980.4077153,25,0,25.7970752
1680214981.3871858,25,0,25.7566108
1680214982.3605492,25,0,25.7397556
1680214983.3294644,25,0,25.7066268
1680214984.3167071,25,0,25.6968326
1680214985.2934003,25,0,25.6737022
1680214986.26975,25,0,25.6463088
1680214987.2395551,25,0,25.6165561
1680214988.22887,25,0,25.5869598
1680214989.2127678,25,0,25.5723152
1680214990.1914446,25,0,25.5426025
1680214991.1556892,25,0,25.5186042
1680214992.19541,25,0,25.5089149
1680214993.1878986,25,0,25.4829063
1680214994.16832,25,0,25.4587726
1680214995.1580586,25,0,25.4360828
1680214996.1413207,25,0,25.4098739
1680214997.1362731,25,0,25.3832149
1680214998.117505,25,0,25.356018
1680214999.1039047,25,0,25.3281059
1680215000.0943067,25,0,25.3077945
1680215001.0697246,25,0,25.2793693
1680215002.0561116,25,0,25.2490615
1680215003.0404048,25,0,25.2349262
1680215004.0281148,25,0,25.2198734
1680215005.0060828,25,0,25.1843719
1680215005.995925,25,0,25.1635684
1680215007.0222564,25,0,25.1493835
1680215007.9991436,25,0,25.1280651
1680215008.9785123,25,0,25.10713
1680215009.9731069,25,0,25.0829429
1680215010.953838,25,0,25.0513038
1680215011.9332862,25,0,25.041687
1680215012.9145565,25,0,25.0133476
1680215013.8937585,25,0.005499253759999012,24.989418
1680215014.8714597,25,0.008621794256012097,24.9838008
1680215015.8575194,25,0.01921616704600252,24.9640293
1680215016.846196,25,0.031004843285999485,24.942707
1680215017.8324056,25,0.03941182728599843,24.9287433
1680215018.806717,25,0.05471689834199235,24.9019908
1680215019.8166902,25,0.05986425879196275,24.8958015
1680215020.8056395,25,0.07959172479196418,24.8618717
1680215021.7990296,25,0.0865792609359546,24.8536567
1680215022.7787917,25,0.0994982674479424,24.8343391
1680215023.7758126,25,0.11119336544794227,24.8182201
1680215024.7565486,25,0.12228118415811697,24.8037757
1680215025.7490494,25,0.13153902763010394,24.7933921
1680215026.73542,25,0.14220991296004262,24.7806911
1680215027.7150943,25,0.14852815096004182,24.7769756
1680215028.6921587,25,0.15667556011201172,24.7696018
1680215029.6716197,25,0.16084151434793315,24.7701778
1680215030.6680324,25,0.1706133103479323,24.7602252
1680215031.646488,25,0.1736489907959165,24.7634639
1680215032.621157,25,0.17618052849612362,24.767559
1680215033.6075692,25,0.18017110081404364,24.7685489
1680215034.5940979,25,0.18534655638202754,24.7673549
1680215035.5836504,25,0.19256259582201155,24.7622795
1680215036.5801485,25,0.18684238582201168,24.782423
1680215037.576578,25,0.19228296182201327,24.7803287
1680215038.5515761,25,0.18848622421195632,24.7959613
1680215039.5288334,25,0.1878261448679432,24.8049583
1680215040.505791,25,0.1860168490200931,24.8157196
1680215041.4857929,25,0.18322445190008252,24.8280715
1680215042.4816608,25,0.18224614354802626,24.8363704
1680215043.4686232,25,0.18075678418803634,24.845623
1680215044.4485614,25,0.17718382479601744,24.8582572
1680215045.4370322,25,0.17298582916598162,24.8717079
1680215046.4218085,25,0.1720396431659818,24.8784618
1680215047.407563,25,0.16584177580596732,24.894926
1680215048.3696802,25,0.15836796280604493,24.91329
