t,i,temp_desired,temp_tc
1681429668.8476503,25,1.3963923544000318,22.2468605
1681429669.8321316,25,1.5105449284000318,22.1332263
1681429670.8316894,25,1.5971757984000314,22.076889
1681429671.879586,25,1.6716048036163822,22.0515136
1681429672.8683763,25,1.7302574382401898,22.0503082
1681429673.859609,25,1.7686407588480002,22.0881519
1681429674.8529406,25,1.776624140848,22.1847934
1681429675.8433805,25,1.7735781715480317,22.297369
1681429676.8371923,25,1.7514886995480314,22.4437961
1681429677.8245983,25,1.6933721869885616,22.6524295
1681429678.812832,25,1.635475377564422,22.8527393
1681429679.7983718,25,1.5519167595644212,23.0960159
1681429680.7895885,25,1.4558941000044414,23.3529548
1681429681.7771397,25,1.3439866293483522,23.6306667
1681429682.7677066,25,1.2211936863183634,23.9188499
1681429683.758015,25,1.0828934443183647,24.2263946
1681429684.751808,25,0.9451661967343333,24.5207138
1681429685.7428422,25,0.7986362727343338,24.8209362
1681429686.7308981,25,0.6455955271663413,25.1222076
1681429687.7195938,25,0.4894641554963354,25.4180011
1681429688.7520573,25,0.33616431038029804,25.6959018
1681429689.7461329,25,0.18215645438029837,25.9653053
1681429690.7367673,25,0.034174981884377065,26.2135047
1681429691.7255943,25,0,26.434349
1681429692.7179217,25,0,26.6495857
1681429693.70763,25,0,26.82732
1681429694.697889,25,0,27.00391
1681429695.6818347,25,0,27.1440696
1681429696.6718414,25,0,27.2547187
1681429697.6612592,25,0,27.3733386
1681429698.6545763,25,0,27.4547729
1681429699.6474478,25,0,27.5179634
1681429700.6395793,25,0,27.5788116
1681429701.6275067,25,0,27.6275291
1681429702.617649,25,0,27.6687908
1681429703.6085036,25,0,27.7095985
1681429704.5996027,25,0,27.731575
1681429705.5886247,25,0,27.7507286
1681429706.5803926,25,0,27.7766933
1681429707.568462,25,0,27.7988567
1681429708.557297,25,0,27.7984027
1681429709.5455968,25,0,27.7981891
1681429710.5374224,25,0,27.8072166
1681429711.5270855,25,0,27.8008174
1681429712.5167072,25,0,27.7963199
1681429713.5061278,25,0,27.789812
1681429714.4976285,25,0,27.7777347
1681429715.4876335,25,0,27.7607154
1681429716.479101,25,0,27.7487735
1681429717.464614,25,0,27.7226428
1681429718.4733834,25,0,27.7066669
1681429719.4645648,25,0,27.6814861
1681429720.4557986,25,0,27.6687717
1681429721.4476068,25,0,27.6414165
1681429722.4374518,25,0,27.6240806
1681429723.4290564,25,0,27.6080513
1681429724.41979,25,0,27.587162
1681429725.4126112,25,0,27.5390205
1681429726.4049914,25,0,27.5160236
1681429727.3904567,25,0,27.4868488
1681429728.370581,25,0,27.4608364
1681429729.3613894,25,0,27.4360256
1681429730.3529987,25,0,27.3935565
1681429731.3456156,25,0,27.3715457
1681429732.3356085,25,0,27.3370857
1681429733.35476,25,0,27.3118515
1681429734.340525,25,0,27.2873077
1681429735.3277855,25,0,27.2640953
1681429736.3171864,25,0,27.2224922
1681429737.3096077,25,0,27.1824111
1681429738.2983844,25,0,27.1566524
1681429739.2864215,25,0,27.1163864
1681429740.2762082,25,0,27.0798587
1681429741.2655838,25,0,27.0510654
1681429742.2545748,25,0,27.0172958
1681429743.2461195,25,0,26.9841136
1681429744.2361605,25,0,26.9678421
1681429745.228874,25,0,26.923851
1681429746.2095087,25,0,26.884346
1681429747.191783,25,0,26.8521251
1681429748.1764019,25,0,26.804512
1681429749.1676624,25,0,26.7799072
1681429750.1883922,25,0,26.7452201
1681429751.1788917,25,0,26.7147998
1681429752.167617,25,0,26.6854972
1681429753.1525345,25,0,26.6516647
1681429754.141243,25,0,26.628416
1681429755.1276197,25,0,26.5903244
1681429756.117095,25,0,26.5618038
1681429757.103334,25,0,26.5298633
1681429758.0905862,25,0,26.4945087
1681429759.080592,25,0,26.4587821
1681429760.070589,25,0,26.4247283
1681429761.0605888,25,0,26.3890151
1681429762.053382,25,0,26.3598117
1681429763.0430026,25,0,26.3327026
1681429764.02839,25,0,26.2989311
1681429765.0776277,25,0,26.2695999
1681429766.065444,25,0,26.2432384
1681429767.052931,25,0,26.2050132
1681429768.040579,25,0,26.1795177
1681429769.0277376,25,0,26.1404571
1681429770.0180178,25,0,26.1172523
1681429771.0118203,25,0,26.0782375
1681429772.0055957,25,0,26.0472869
1681429772.9995944,25,0,26.0108451
1681429773.9928372,25,0,25.9876766
1681429774.9793165,25,0,25.9626121
1681429775.9677603,25,0,25.9347743
1681429776.95947,25,0,25.9034099
1681429777.9505339,25,0,25.8673496
1681429778.936838,25,0,25.8503208
1681429779.920026,25,0,25.816801
1681429780.9083645,25,0,25.787302
1681429781.9218702,25,0,25.7609672
1681429782.905164,25,0,25.7330703
1681429783.8961082,25,0,25.7070388
1681429784.8829443,25,0,25.6830463
1681429785.870706,25,0,25.6494255
1681429786.8595896,25,0,25.6337966
1681429787.8433867,25,0,25.6000347
1681429788.8323119,25,0,25.5759029
1681429789.8241372,25,0,25.5414409
1681429790.8142457,25,0,25.5094108
1681429791.8083508,25,0,25.496561
1681429792.794593,25,0,25.4803295
1681429793.783331,25,0,25.4476318
1681429794.7731435,25,0,25.4301662
1681429795.755537,25,0,25.4058914
1681429796.807271,25,0,25.3789863
1681429797.7971199,25,0,25.3512134
1681429798.7833734,25,0,25.3324432
1681429799.7745914,25,0,25.304512
1681429800.7628233,25,0,25.2867908
1681429801.7530148,25,0,25.2540664
1681429802.741419,25,0,25.2355804
1681429803.7318184,25,0,25.2027454
1681429804.7209046,25,0,25.186201
1681429805.708358,25,0,25.1558341
1681429806.6995723,25,0,25.1327667
1681429807.6855626,25,0,25.1015567
1681429808.6731544,25,0,25.0858764
1681429809.6611397,25,0,25.0627155
1681429810.6473556,25,0,25.0480213
1681429811.6303473,25,0,25.0196304
1681429812.6195781,25,0,25.0016021
1681429813.6518917,25,0.013622074362001428,24.9738349
1681429814.6380067,25,0.022990356482002542,24.9568004
1681429815.6243474,25,0.04266660819399695,24.9205741
1681429816.613379,25,0.04786643054599101,24.9135761
1681429817.6027863,25,0.05066709654599155,24.9115142
