t,i,temp_desired,temp_tc,temp_therm,res_therm
1681788647.2251105,23.4175872,0.010609384192003326,23.437664,18.10283689239075,1014.44781
1681788652.2169812,23.4175872,0.015424126692002684,23.4458789,18.1009498321952,1014.4422
1681788657.245181,23.4175872,0.015231332548003618,23.4441604,18.0973775228562,1014.43158
1681788662.250709,23.4175872,0.013540121295503655,23.4396705,18.092469773256866,1014.41699
1681788667.254899,23.4175872,0.008909193795504141,23.4297981,18.091729739566382,1014.41479
1681788672.2846382,23.4175872,0.015722084155999183,23.4421863,18.08785127780875,1014.40326
1681788677.2882571,23.4175872,0.015292440127998946,23.4401931,18.08378442075339,1014.39117
1681788682.2952764,23.4175872,0.01598496196799948,23.4404392,18.081631567338885,1014.38477
1681788687.306049,23.4175872,0.005606549075998554,23.4195823,18.07292590057688,1014.35889
1681788692.3151882,23.4175872,0.004303560039998541,23.4170055,18.068694128025392,1014.34631
1681788697.3373983,23.333910222047678,0.051672968746559536,23.4235572,18.061138771033967,1014.32385
1681788702.3511915,23.250317064120484,0.09597867813001762,23.4200611,18.05949716916216,1014.31897
1681788707.362525,23.166963759257506,0.14083244908006903,23.4140605,18.059762920539253,1014.31976
1681788712.3525412,23.08370333035202,0.1843144991404336,23.401905,18.04826487869922,1014.28558
1681788717.376044,23.00005795478236,0.22684915596374697,23.3840122,18.04362591506039,1014.27179
1681788722.3661253,22.91674884080302,0.2686215944333405,23.3619861,18.02686955403414,1014.22198
1681788727.3666897,22.833316456471,0.3060237801875768,23.3285942,18.009170833148662,1014.16937
1681788732.3906634,22.749804698620352,0.3451768316155102,23.2959918,17.983710285333427,1014.09369
1681788737.4003267,22.6661685498497,0.3735829999907282,23.2403717,17.96143156595773,1014.02747
1681788742.4287732,22.58248454649658,0.39347278301316313,23.1671409,17.921612774472337,1013.90912
1681788747.424592,22.49912914355011,0.40681869339764576,23.0813655,17.879534009198736,1013.78406
1681788752.4242995,22.41586200316162,0.42176212601284946,22.9988365,17.832667759323467,1013.64478
1681788757.427478,22.332384788189444,0.4285890712942019,22.9006023,17.78216063587739,1013.49469
1681788762.4731405,22.248207933896893,0.433330581328944,22.798069,17.71604070729981,1013.29822
1681788767.4607875,22.165391496016692,0.42467127380397307,22.6727294,17.647817757788207,1013.09552
1681788772.461124,22.08199140548121,0.4122734189346824,22.5415554,17.57245870162954,1012.87164
1681788777.4754279,21.998365480893963,0.4000305004674929,22.4126625,17.49608849647389,1012.64478
1681788782.4827812,21.914880640500897,0.38326920411626875,22.2774677,17.40982139882746,1012.38855
1681788787.5018227,21.831260962480417,0.35862226395233393,22.1295928,17.322806476184013,1012.13013
1681788792.5017657,21.747978110307567,0.34543076228106884,22.006977,17.22973577516936,1011.85376
1681788797.5197556,21.664341707223766,0.32920776718580225,21.8800735,17.137289607623252,1011.57928
1681788802.5038812,21.581089169973247,0.3098908540617309,21.7497539,17.041587467348773,1011.29517
1681788807.5193775,21.49768436272354,0.2882485486184958,21.617094,16.949979560668666,1011.02325
1681788812.5294561,21.414151624037935,0.2671633473603495,21.4877128,16.848389318596116,1010.72174
1681788817.5449042,21.330569779072317,0.24931634477791115,21.3666286,16.755071712410295,1010.44482
1681788822.5327196,21.247284328136953,0.23717768204217035,21.2585048,16.660531955632464,1010.16431
1681788827.5993803,21.16293128648809,0.2200700413981538,21.1410446,16.563856035996377,1009.8775
1681788832.5445113,21.080404499365997,0.20617368617640572,21.0330696,16.470771112860138,1009.60138
1681788837.5653405,20.996921459033203,0.20909283120224825,20.9574069,16.38110999405661,1009.33545
1681788842.570003,20.913419818077596,0.2081739737281131,20.8740367,16.295285375245314,1009.08093
1681788847.5831673,20.829755738570405,0.2087870514854656,20.7934265,16.21326153580731,1008.83771
1681788852.602634,20.746216312243654,0.2110167593427512,20.7158641,16.13052672661295,1008.59241
1681788857.5999012,20.6628464253685,0.21844172620008584,20.6480846,16.05243424889353,1008.3609
1681788862.6118102,20.579559734656524,0.23153926195243232,20.5904502,15.97629002184207,1008.13519
1681788867.6060677,20.496047813886516,0.24334809828116377,20.5289077,15.902526547563296,1007.91656
1681788872.6135993,20.41253363608729,0.2618640828408917,20.4790878,15.828468653095783,1007.69708
1681788877.6360128,20.3289735269488,0.2773546843702632,20.4218502,15.758317821036318,1007.4892
1681788882.638564,20.24545154094111,0.2953213838505791,20.3681278,15.688447000240796,1007.28217
1681788887.6358006,20.16218800067317,0.3173440664677221,20.3209705,15.620338074095347,1007.08038
1681788892.6690738,20.078436699702454,0.3338657082420264,20.261074,15.554329116324018,1006.88483
1681788897.670319,19.99519493897171,0.3525547320042184,20.2047653,15.482395885013172,1006.67175
1681788902.6772382,19.911604057941943,0.3575510421299231,20.1206798,15.41169456022718,1006.46234
1681788907.7036068,19.827950337722015,0.3749380200325093,20.0601196,15.340348053922325,1006.25104
1681788912.7191076,19.74433155377121,0.3967492401633335,20.0069503,15.27303338332148,1006.0517
1681788917.7131677,19.661041457647197,0.4169831909487668,19.9497394,15.198147070333404,1005.82996
1681788922.712144,19.57758491753947,0.42566415585874656,19.8690261,15.12512756667261,1005.61377
1681788927.7196636,19.494100029462686,0.43769077166057097,19.7945709,15.047729365646987,1005.38464
1681788932.7304876,19.4106677961291,0.4538220531804505,19.7275085,14.970140355838927,1005.15497
1681788937.755973,19.326993901723736,0.4619413133149321,19.6441669,14.893117333305115,1004.927
1681788942.778397,19.243423393561553,0.4723517105415057,19.5652732,14.813632719974267,1004.69177
1681788947.7690544,19.15994273741455,0.4774465764017679,19.4761257,14.728819795793664,1004.4408
