t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1709835139.6505053, 3.2, -4.347433e-05, 3.497142e-07, 4.340209e-05, 179.6348, 0, 0, 0, +5.206715E-05, +5.286743E-10, -2.3842e-07, 0.0, -0.00283171, 135.0
1709835146.1458235, -3.2, -4.38399e-05, 2.03548e-07, 4.39139e-05, 179.7344, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283171, 0.0
1709835152.6146827, 3.2, -4.354744e-05, 2.766311e-07, 4.362075e-05, 179.7331, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283171, 90.0
1709835159.1000721, -3.2, -4.362056e-05, 2.03548e-07, 4.362144e-05, 179.7331, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283195, 0.0
1709835165.579142, 3.2, -4.376679e-05, 2.766311e-07, 4.376766e-05, 179.6378, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283171, 90.0
1709835172.067648, -3.2, -4.391302e-05, 2.766311e-07, 4.39139e-05, 179.7331, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283195, 0.0
1709835178.5332816, 3.2, -4.332809e-05, 4.227973e-07, 4.354832e-05, 179.6354, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283195, 0.0
1709835185.011903, -3.2, -4.376679e-05, 2.766311e-07, 4.376818e-05, 179.4456, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, 0.0, -0.00283195, 0.0
1709835191.500512, 3.2, -4.347433e-05, 2.766311e-07, 4.354832e-05, 179.6366, 0, 0, 0, +5.206715E-05, +5.286743E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1709835198.0066793, -3.2, -4.398614e-05, 3.497142e-07, 4.384077e-05, 179.5422, 0, 0, 0, +5.206715E-05, +5.286743E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1709835220.6718295, 3.2, -4.332809e-05, 2.766311e-07, 4.340209e-05, 179.6348, 0, 0, 0, +2.000630E-01, +3.997300E-06, -2.3842e-07, 0.0, -0.00283171, 180.0
1709835227.1404245, -3.2, -4.369367e-05, 2.03548e-07, 4.362103e-05, 179.6366, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835233.6063864, 3.2, -4.310874e-05, 2.03548e-07, 4.303705e-05, 179.4381, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835240.071011, -3.2, -4.354744e-05, 2.766311e-07, 4.376818e-05, 179.6378, 0, 0, 0, +2.000630E-01, +3.997300E-06, -2.3842e-07, 2.3842e-07, -0.00283171, 116.562
1709835246.540513, 3.2, -4.362056e-05, 2.766311e-07, 4.340262e-05, 179.6342, 0, 0, 0, +2.000630E-01, +3.997300E-06, -2.3842e-07, 0.0, -0.00283171, 180.0
1709835253.0387843, -3.2, -4.369367e-05, 2.03548e-07, 4.369387e-05, 179.7335, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835259.5082376, 3.2, -4.38399e-05, 2.03548e-07, 4.384077e-05, 179.8292, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835265.9833677, -3.2, -4.354744e-05, 2.03548e-07, 4.362144e-05, 179.6354, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283171, 45.0
1709835272.471825, 3.2, -4.347433e-05, 2.03548e-07, 4.325639e-05, 179.6342, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835278.9269104, -3.2, -4.362056e-05, 2.766311e-07, 4.362144e-05, 179.6378, 0, 0, 0, +2.000630E-01, +3.997300E-06, 0.0, 0.0, -0.00283195, 0.0
1709835301.5826547, 3.2, -4.38399e-05, 2.03548e-07, 4.376726e-05, 179.7331, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283195, 0.0
1709835308.0507782, -3.2, -4.391302e-05, 1.304649e-07, 4.38401e-05, 179.8295, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283195, 0.0
1709835314.530283, 3.2, -4.376679e-05, 5.738174e-08, 4.369387e-05, 179.8286, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283195, 0.0
1709835320.9958174, -3.2, -4.376679e-05, 1.304649e-07, 4.376726e-05, 179.7331, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283195, 0.0
1709835327.444341, 3.2, -4.362056e-05, 2.03548e-07, 4.369414e-05, 179.8289, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283171, 45.0
1709835333.9294105, -3.2, -4.369367e-05, 2.03548e-07, 4.369414e-05, 179.8289, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283171, 0.0
1709835340.4119809, 3.2, -4.362056e-05, 1.304649e-07, 4.362075e-05, 179.8286, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, -2.3842e-07, -0.00283171, -90.0
1709835346.907413, -3.2, -4.391302e-05, 1.304649e-07, 4.38401e-05, 179.925, 0, 0, 0, +4.000713E-01, +9.315317E-06, -2.3842e-07, 0.0, -0.00283171, 180.0
1709835353.3827863, 3.2, -4.347433e-05, 1.304649e-07, 4.362075e-05, 179.9247, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283195, 0.0
1709835359.888001, -3.2, -4.376679e-05, 1.304649e-07, 4.38401e-05, 179.8292, 0, 0, 0, +4.000713E-01, +9.315317E-06, 0.0, 0.0, -0.00283171, 45.0
1709835382.527807, 3.2, -4.376679e-05, 2.03548e-07, 4.369387e-05, 179.9249, 0, 0, 0, +4.213728E-01, +1.000026E-05, 0.0, 0.0, -0.00283195, 0.0
1709835389.0091982, -3.2, -4.38399e-05, 1.304649e-07, 4.38401e-05, 179.8295, 0, 0, 0, +4.213728E-01, +1.000026E-05, 0.0, -2.3842e-07, -0.00283171, -45.0
1709835395.5031624, 3.2, -4.38399e-05, 5.738174e-08, 4.384038e-05, 179.7331, 0, 0, 0, +4.213728E-01, +1.000026E-05, -2.3842e-07, 0.0, -0.00283171, 180.0
1709835402.0296724, -3.2, -4.398614e-05, 5.738174e-08, 4.391322e-05, 179.734, 0, 0, 0, +4.213728E-01, +1.000026E-05, 0.0, 0.0, -0.00283171, 45.0
1709835408.5121212, 3.2, -4.376679e-05, 1.304649e-07, 4.39139e-05, 179.734, 0, 0, 0, +4.213728E-01, +1.000026E-05, 0.0, 0.0, -0.00283195, 0.0
1709835415.0274909, -3.2, -4.38399e-05, 2.03548e-07, 4.376698e-05, 179.7335, 0, 0, 0, +4.213728E-01, +1.000026E-05, 0.0, 0.0, -0.00283171, 0.0
