t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1713501495.4437618, 3.2, 3.597473e-06, -1.067556e-06, 3.773973e-06, 343.1001, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, -2.3842e-07, -0.00283171, -45.0
1713501501.9218528, -3.2, 3.597473e-06, -1.213722e-06, 3.878659e-06, 342.7373, 0, 0, 0, +2.839361E-05, -4.424264E-10, -2.3842e-07, 2.3842e-07, -0.00283171, 116.562
1713501508.4008236, 3.2, 3.524357e-06, -1.104097e-06, 3.704342e-06, 342.7734, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, 0.0, -0.00283195, 0.0
1713501514.8662808, -3.2, 3.634031e-06, -1.17718e-06, 3.854735e-06, 343.2589, 0, 0, 0, +2.839361E-05, -4.424264E-10, -2.3842e-07, 0.0, -0.00283171, 135.0
1713501521.3617978, 3.2, 3.524357e-06, -1.140639e-06, 3.693254e-06, 342.4343, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, 0.0, -0.00283171, 0.0
1713501527.8536434, -3.2, 3.670589e-06, -1.140639e-06, 3.854735e-06, 343.1001, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, 0.0, -0.00283171, 90.0
1713501534.3390296, 3.2, 3.487799e-06, -1.104097e-06, 3.693254e-06, 342.8119, 0, 0, 0, +2.839361E-05, -4.424264E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713501540.82847, -3.2, 3.634031e-06, -1.17718e-06, 3.808837e-06, 342.4079, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, 0.0, -0.00283195, 0.0
1713501547.3137257, 3.2, 3.597473e-06, -1.104097e-06, 3.717498e-06, 342.4079, 0, 0, 0, +2.839361E-05, -4.424264E-10, 0.0, 0.0, -0.00283171, 90.0
1713501553.7919207, -3.2, 3.707147e-06, -1.104097e-06, 3.81994e-06, 343.2589, 0, 0, 0, +2.839361E-05, -4.424264E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713501576.4444451, 3.2, 3.560915e-06, -1.104097e-06, 3.75045e-06, 342.4079, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, 0.0, -0.00283171, 90.0
1713501582.923343, -3.2, 3.670589e-06, -1.17718e-06, 3.924421e-06, 342.8976, 0, 0, 0, +5.000082E-01, +3.811909E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713501589.4217715, 3.2, 3.597473e-06, -1.140639e-06, 3.76309e-06, 342.2386, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, 0.0, -0.00283195, 0.0
1713501595.920371, -3.2, 3.670589e-06, -1.17718e-06, 3.798054e-06, 342.2186, 0, 0, 0, +5.000082E-01, +3.811909E-10, -2.3842e-07, -2.3842e-07, -0.00283171, -135.0
1713501602.396199, 3.2, 3.560915e-06, -1.104097e-06, 3.704342e-06, 342.7734, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1713501608.8511705, -3.2, 3.670589e-06, -1.140639e-06, 3.81994e-06, 342.2186, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, 0.0, -0.00283195, 0.0
1713501615.334032, 3.2, 3.597473e-06, -1.140639e-06, 3.76309e-06, 342.2386, 0, 0, 0, +5.000082E-01, +3.811909E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713501621.8088586, -3.2, 3.707147e-06, -1.17718e-06, 3.889562e-06, 342.5446, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, -2.3842e-07, -0.00283171, -45.0
1713501628.304612, 3.2, 3.634031e-06, -1.17718e-06, 3.808837e-06, 342.9383, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, 0.0, -0.00283171, 0.0
1713501634.7632895, -3.2, 3.743705e-06, -1.17718e-06, 3.9486e-06, 342.1998, 0, 0, 0, +5.000082E-01, +3.811909E-10, 0.0, 0.0, -0.00283195, 0.0
1713501657.4085906, 3.2, 3.597473e-06, -1.140639e-06, 3.878659e-06, 343.9351, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 0.0
1713501663.8774993, -3.2, 3.853379e-06, -1.213722e-06, 4.029179e-06, 342.8593, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 0.0
1713501670.3428032, 3.2, 3.707147e-06, -1.140639e-06, 3.857799e-06, 342.8976, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 90.0
1713501676.8016145, -3.2, 3.889937e-06, -1.213722e-06, 4.005152e-06, 343.0125, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283195, 0.0
1713501683.2669148, 3.2, 3.597473e-06, -1.104097e-06, 3.787593e-06, 342.5741, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 0.0
1713501689.7562237, -3.2, 3.926495e-06, -1.17718e-06, 4.144744e-06, 344.4323, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 90.0
1713501696.2310987, 3.2, 3.707147e-06, -1.140639e-06, 3.798054e-06, 342.8976, 0, 0, 0, +1.000004E+00, +1.095785E-09, -2.3842e-07, 0.0, -0.00283171, 180.0
1713501702.7093258, -3.2, 3.889937e-06, -1.17718e-06, 4.064155e-06, 343.8015, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283195, 0.0
1713501709.1792984, 3.2, 3.707147e-06, -1.140639e-06, 3.903122e-06, 343.7186, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283195, 0.0
1713501715.6673298, -3.2, 3.926495e-06, -1.17718e-06, 4.07489e-06, 343.163, 0, 0, 0, +1.000004E+00, +1.095785E-09, 0.0, 0.0, -0.00283171, 90.0
1713501738.2828662, 3.2, 3.81682e-06, -1.140639e-06, 3.983614e-06, 343.3615, 0, 0, 0, +1.499967E+00, +1.689804E-09, 0.0, 0.0, -0.00283171, 90.0
1713501744.7583096, -3.2, 3.926495e-06, -1.140639e-06, 4.134191e-06, 343.311, 0, 0, 0, +1.499967E+00, +1.689804E-09, 0.0, 0.0, -0.00283195, 0.0
