t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681588310.093783, 3.2, -1.086466e-05, -1.550447e-06, 9.962429e-06, 188.6645, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588316.6037445, -3.2, -4.430471e-06, -1.696613e-06, 4.462753e-06, 202.1325, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588323.0916579, 3.2, -9.621695e-06, -1.62353e-06, 1.010691e-05, 188.8243, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166627, 0.419741, 0.966
1681588329.575936, -3.2, -4.357355e-06, -1.550447e-06, 4.377122e-06, 201.2267, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166627, 0.419741, 0.966
1681588336.0535946, 3.2, -8.232495e-06, -1.550447e-06, 8.220112e-06, 190.7826, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588342.534612, -3.2, -1.798301e-06, -1.62353e-06, 2.544561e-06, 224.5008, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166627, 0.419741, 0.966
1681588349.0176244, 3.2, -7.281989e-06, -1.477364e-06, 7.230823e-06, 192.2586, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588355.5081675, -3.2, -1.28649e-06, -1.62353e-06, 1.924597e-06, 233.6678, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588362.0259395, 3.2, -7.135757e-06, -1.477364e-06, 7.159425e-06, 191.4771, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588368.5249941, -3.2, 4.682896e-07, -1.62353e-06, 1.727029e-06, 295.1068, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588374.9818797, 3.2, -4.869166e-06, -1.550447e-06, 5.389462e-06, 196.0735, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588381.4952228, -3.2, 9.069846e-07, -1.62353e-06, 1.600015e-06, 297.1857, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588387.9859161, 3.2, -4.869166e-06, -1.62353e-06, 4.878874e-06, 198.997, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588394.4842675, -3.2, 1.491911e-06, -1.550447e-06, 2.255526e-06, 311.1501, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
1681588400.9997222, 3.2, -4.796051e-06, -1.550447e-06, 4.55616e-06, 202.294, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588407.5096726, -3.2, 1.638143e-06, -1.62353e-06, 2.578905e-06, 320.1483, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985966, 0.0166017, 0.419741, 0.966
1681588413.9916708, 3.2, -3.333734e-06, -1.62353e-06, 4.445105e-06, 201.9583, 0, 0, 0, +3.785131E-05, +1.555581E-10, 0.985905, 0.0166017, 0.41968, 0.966
