t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1713334820.4947135, 3.2, 8.791312e-08, 2.869087e-08, 1.344866e-07, 77.21934, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283171, 0.0
1713334826.9667037, -3.2, -1.314344e-07, 6.523243e-08, 1.704247e-07, 167.686, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, -4.76841e-07, -0.00283171, -90.0
1713334833.4420156, 3.2, 5.13552e-08, 2.869087e-08, 1.139969e-07, 62.71762, 0, 0, 0, +3.041381E-05, -9.764750E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713334839.9074533, -3.2, -9.487647e-08, -7.850687e-09, 1.316686e-07, 184.7303, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283171, 90.0
1713334846.3962798, 3.2, -2.176063e-08, -7.850687e-09, 1.675091e-08, 29.191, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283195, 0.0
1713334852.8522897, -3.2, -9.487647e-08, 2.869087e-08, 9.520073e-08, 170.3081, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283195, 0.0
1713334859.3238668, 3.2, 8.791312e-08, 2.869087e-08, 1.028441e-07, 63.22446, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, -2.3842e-07, -0.00283171, -45.0
1713334865.8092198, -3.2, -1.314344e-07, 6.523243e-08, 1.345294e-07, 145.4895, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283195, 0.0
1713334872.2846184, 3.2, 8.791312e-08, 6.523243e-08, 3.228197e-08, 351.3085, 0, 0, 0, +3.041381E-05, -9.764750E-11, 0.0, 0.0, -0.00283195, 0.0
1713334878.7531147, -3.2, -1.314344e-07, 1.01774e-07, 1.467319e-07, 148.7914, 0, 0, 0, +3.041381E-05, -9.764750E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713334901.459534, 3.2, 1.479729e-08, 6.523243e-08, 2.313349e-08, 62.71762, 0, 0, 0, +5.000102E-01, +1.468883E-10, 0.0, 0.0, -0.00283171, 45.0
1713334907.9341824, -3.2, -9.487647e-08, 2.869087e-08, 8.750041e-08, 133.5387, 0, 0, 0, +5.000102E-01, +1.468883E-10, 0.0, -2.3842e-07, -0.00283171, -45.0
1713334914.4263358, 3.2, 1.479729e-08, 2.869087e-08, 4.67935e-08, 332.0518, 0, 0, 0, +5.000102E-01, +1.468883E-10, -2.3842e-07, 0.0, -0.00283171, 135.0
1713334920.8817332, -3.2, -1.314344e-07, 1.01774e-07, 1.391384e-07, 163.1745, 0, 0, 0, +5.000102E-01, +1.468883E-10, 0.0, -2.3842e-07, -0.00283171, -45.0
