t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1713553776.9849756, 3.2, -1.228172e-06, 3.941064e-07, 1.244105e-06, 161.6992, 0, 0, 0, +2.456702E-05, -1.803688E-10, 0.0, 0.0, -0.00283171, 90.0
1713553783.4934778, -3.2, -1.118498e-06, 3.941064e-07, 1.117204e-06, 157.6106, 0, 0, 0, +2.456702E-05, -1.803688E-10, 0.0, 0.0, -0.00283171, 0.0
1713553789.9692316, 3.2, -1.191614e-06, 3.941064e-07, 1.336039e-06, 160.1302, 0, 0, 0, +2.456702E-05, -1.803688E-10, 0.0, 0.0, -0.00283171, 90.0
1713553796.4373412, -3.2, -1.118498e-06, 3.941064e-07, 1.139494e-06, 161.7121, 0, 0, 0, +2.456702E-05, -1.803688E-10, 0.0, 0.0, -0.00283195, 0.0
1713553819.1231477, 3.2, -1.26473e-06, 4.30648e-07, 1.289855e-06, 162.2091, 0, 0, 0, +9.999968E-01, -5.570384E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713553825.6117394, -3.2, -1.08194e-06, 3.941064e-07, 1.1859e-06, 159.9854, 0, 0, 0, +9.999968E-01, -5.570384E-11, 0.0, 0.0, -0.00283171, 45.0
1713553832.0773306, 3.2, -1.191614e-06, 4.30648e-07, 1.324712e-06, 160.6772, 0, 0, 0, +9.999968E-01, -5.570384E-11, 0.0, -2.3842e-07, -0.00283171, -90.0
1713553838.586684, -3.2, -1.118498e-06, 3.941064e-07, 1.1859e-06, 160.5899, 0, 0, 0, +9.999968E-01, -5.570384E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713553861.2320716, 3.2, -1.228172e-06, 3.941064e-07, 1.267044e-06, 162.6923, 0, 0, 0, +1.999969E+00, +2.469817E-11, 0.0, 0.0, -0.00283171, 45.0
1713553867.717164, -3.2, -1.118498e-06, 3.941064e-07, 1.151484e-06, 161.7121, 0, 0, 0, +1.999969E+00, +2.469817E-11, 0.0, 0.0, -0.00283171, 0.0
1713553874.185982, 3.2, -1.26473e-06, 3.941064e-07, 1.348261e-06, 162.2091, 0, 0, 0, +1.999969E+00, +2.469817E-11, 0.0, 0.0, -0.00283195, 0.0
1713553880.6614935, -3.2, -1.118498e-06, 3.941064e-07, 1.151484e-06, 159.9854, 0, 0, 0, +1.999969E+00, +2.469817E-11, 0.0, 0.0, -0.00283195, 0.0
1713553903.2872205, 3.2, -1.228172e-06, 4.30648e-07, 1.301485e-06, 162.6923, 0, 0, 0, +3.000032E+00, +2.394394E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713553909.7859728, -3.2, -1.08194e-06, 3.941064e-07, 1.174262e-06, 160.5899, 0, 0, 0, +3.000032E+00, +2.394394E-11, 0.0, 0.0, -0.00283171, 0.0
1713553916.2843583, 3.2, -1.26473e-06, 4.671896e-07, 1.301485e-06, 161.196, 0, 0, 0, +3.000032E+00, +2.394394E-11, 0.0, 0.0, -0.00283171, 0.0
1713553922.7496088, -3.2, -1.118498e-06, 3.575649e-07, 1.209135e-06, 160.5899, 0, 0, 0, +3.000032E+00, +2.394394E-11, 0.0, -2.3842e-07, -0.00283171, -45.0
1713553945.408721, 3.2, -1.26473e-06, 4.671896e-07, 1.348261e-06, 159.7258, 0, 0, 0, +4.000122E+00, +5.416249E-11, -2.3842e-07, 0.0, -0.00283171, 180.0
1713553951.884128, -3.2, -1.155056e-06, 3.210233e-07, 1.22044e-06, 161.1603, 0, 0, 0, +4.000122E+00, +5.416249E-11, 0.0, 0.0, -0.00283171, 0.0
1713553958.3599768, 3.2, -1.26473e-06, 4.30648e-07, 1.289855e-06, 161.196, 0, 0, 0, +4.000122E+00, +5.416249E-11, 0.0, 0.0, -0.00283195, 0.0
1713553964.8283687, -3.2, -1.155056e-06, 4.30648e-07, 1.198539e-06, 164.4678, 0, 0, 0, +4.000122E+00, +5.416249E-11, 0.0, 0.0, -0.00283171, 0.0
1713553987.4939096, 3.2, -1.26473e-06, 4.671896e-07, 1.301485e-06, 161.196, 0, 0, 0, +5.000151E+00, +1.833329E-10, 0.0, 0.0, -0.00283195, 0.0
1713553993.9429283, -3.2, -1.155056e-06, 3.575649e-07, 1.1859e-06, 160.5899, 0, 0, 0, +5.000151E+00, +1.833329E-10, 0.0, 0.0, -0.00283171, 0.0
1713554000.4080465, 3.2, -1.26473e-06, 4.30648e-07, 1.336039e-06, 162.6923, 0, 0, 0, +5.000151E+00, +1.833329E-10, 0.0, 0.0, -0.00283195, 0.0
1713554006.8464966, -3.2, -1.155056e-06, 4.30648e-07, 1.209135e-06, 160.5899, 0, 0, 0, +5.000151E+00, +1.833329E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713554029.4990454, 3.2, -1.301288e-06, 3.941064e-07, 1.429537e-06, 160.2508, 0, 0, 0, +6.000185E+00, +2.303452E-10, 0.0, 0.0, -0.00283171, 45.0
1713554035.9803967, -3.2, -1.155056e-06, 3.941064e-07, 1.1859e-06, 161.1603, 0, 0, 0, +6.000185E+00, +2.303452E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1713554042.4664927, 3.2, -1.26473e-06, 4.671896e-07, 1.348261e-06, 161.196, 0, 0, 0, +6.000185E+00, +2.303452E-10, 0.0, 0.0, -0.00283195, 0.0
1713554048.955349, -3.2, -1.118498e-06, 3.941064e-07, 1.232726e-06, 160.5899, 0, 0, 0, +6.000185E+00, +2.303452E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1713554071.6114895, 3.2, -1.228172e-06, 4.30648e-07, 1.382612e-06, 163.1506, 0, 0, 0, +7.000132E+00, +2.743408E-10, 0.0, 0.0, -0.00283195, 0.0
1713554078.0763235, -3.2, -1.118498e-06, 4.30648e-07, 1.232726e-06, 159.5527, 0, 0, 0, +7.000132E+00, +2.743408E-10, 0.0, 0.0, -0.00283195, 0.0
