t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1707417171.460091, 3.2, 2.489421e-08, 5.738173e-09, 2.810574e-08, 12.9801, 0, 0, 0, +2.044778E-05, -2.637557E-10, -2.3842e-07, 0.0, -0.00283171, 135.0
1707417177.939322, -3.2, -1.897529e-08, 1.304649e-08, 2.690588e-08, 153.6042, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, 0.0, -0.00283171, 90.0
1707417184.4296134, 3.2, 1.758262e-08, 1.304649e-08, 2.189428e-08, 18.07434, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1707417190.8978016, -3.2, -4.091004e-08, 5.738173e-09, 4.293999e-08, 173.2139, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1707417197.3586907, 3.2, -4.352126e-09, 5.738173e-09, 1.375325e-08, 51.78788, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, 0.0, -0.00283171, 90.0
1707417203.8146152, -3.2, -1.897529e-08, 1.304649e-08, 3.928326e-08, 153.5473, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, 0.0, -0.00283195, 0.0
1707417210.2927923, 3.2, 1.758262e-08, 5.738173e-09, 2.554698e-08, 22.05275, 0, 0, 0, +2.044778E-05, -2.637557E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1707417216.75468, -3.2, -4.352126e-09, 5.738173e-09, 2.302765e-08, 145.4895, 0, 0, 0, +2.044778E-05, -2.637557E-10, -2.3842e-07, -2.3842e-07, -0.00283171, -135.0
1707417223.274231, 3.2, 3.951737e-08, 2.03548e-08, 4.861236e-08, 27.2523, 0, 0, 0, +2.044778E-05, -2.637557E-10, -2.3842e-07, 0.0, -0.00283171, 180.0
1707417229.7621274, -3.2, 6.145213e-08, 1.304649e-08, 3.954855e-08, 23.49278, 0, 0, 0, +2.044778E-05, -2.637557E-10, -2.3842e-07, -2.3842e-07, -0.00283171, -135.0
1707417252.4053137, 3.2, -2.090764e-07, 2.766311e-08, 2.246238e-07, 176.6622, 0, 0, 0, +4.999999E-01, +4.095621E-10, 0.0, 0.0, -0.00283195, 0.0
1707417258.8808508, -3.2, -2.602575e-07, 1.304649e-08, 2.532822e-07, 178.7369, 0, 0, 0, +4.999999E-01, +4.095621E-10, 0.0, -2.3842e-07, -0.00283171, -90.0
1707417265.3662224, 3.2, -2.310112e-07, 1.304649e-08, 2.237732e-07, 178.5306, 0, 0, 0, +4.999999E-01, +4.095621E-10, 0.0, 0.0, -0.00283171, 90.0
